"N","High level GO category","Genes"
106,"Nitrogen compound metabolic process "," prmt3  mych  alg2  meaf6  ext1b  thrap3b  phkg1a  pdgfra  rfx5  camk2g2  psmb4  lrrc14b  mterf3  cox10  zgc:92590  rps19  foxe1  dusp27  tlx3b  myca  pou6f2  arih1  nr2e3  rps28  b3gnt3.4  jak3  kita  nr2f6b  babam1  gtpbp3  tbx5a  clocka  myt1a  foxd1  si:ch211-203d1.3  pcmtd2a  asxl1  shox2  strada  map3k3  camta1a  abl1  kdr  ablim2  ptcd2  fubp3  MARK1  srd5a3  tmem165  ASS1  apoa4a  pcyox1  ADAMTS19  si:dkey-260c8.8  rfx7a  hipk3b  gata3  eif2ak3  six3a  prepl  mmp19  pmela  cdk2  ARPC4-TTLL3  EPHB3  ckmt2a  ryk  bach1b  MAPKAPK2  dyrk3  ing4  SGK1  fer  tbpl1  pja2  rps6kb1a  rps12  foxp4  slc25a38b  nek1  rpsa  anapc4  wdr36  PPIF  lig4  camk4  ntrk2b  pcsk5a  NEK3  ilkap  ptprt  foxo1a  nfil3-5  ptpn4b  acer2  dennd4c  mgat5  larp7  rbfox2  FUT9  zgc:163098  ASCL4  pigu  trps1  trub1"
106,"Cellular metabolic process "," prmt3  mych  alg2  meaf6  ext1b  thrap3b  GBE1  phkg1a  pdgfra  rfx5  camk2g2  psmb4  lrrc14b  uqcrb  mterf3  cox10  rps19  foxe1  dusp27  twnk  tlx3b  myca  pou6f2  ogdhl  arih1  nr2e3  cyp11a2  rps28  NDUFA7  b3gnt3.4  jak3  kita  nr2f6b  babam1  gtpbp3  tbx5a  clocka  myt1a  foxd1  si:ch211-203d1.3  pcmtd2a  asxl1  shox2  strada  map3k3  camta1a  abl1  kdr  ablim2  ptcd2  fubp3  MARK1  srd5a3  tmem165  ASS1  pcyox1  si:dkey-260c8.8  rfx7a  hipk3b  gata3  eif2ak3  six3a  cdk2  ARPC4-TTLL3  EPHB3  ckmt2a  pi4kaa  ip6k2a  ryk  bach1b  MAPKAPK2  dyrk3  ing4  SGK1  fer  tbpl1  pja2  rps6kb1a  rps12  foxp4  slc25a38b  nek1  rpsa  anapc4  wdr36  PPIF  lig4  camk4  ntrk2b  NEK3  ilkap  ptprt  foxo1a  nfil3-5  ptpn4b  acer2  dennd4c  mgat5  larp7  rbfox2  FUT9  zgc:163098  ASCL4  pigu  trps1  trub1"
95,"Biological regulation "," mych  si:ch73-160i9.1  frrs1l  slc30a8  si:dkey-211g8.6  atp1b1a  pdgfra  rfx5  ago3a  sufu  nkd3  lrrc14b  mterf3  tns1b  rps19  foxe1  si:dkey-25o16.4  lzts2a  tlx3b  nlgn2b  myca  rgra  pou6f2  nr2e3  cyp11a2  jak3  topbp1  kita  nr2f6b  TENM3  babam1  plvapb  tbx5a  clocka  cables2a  OPRL1  NPBWR1  myt1a  foxd1  si:ch211-203d1.3  asxl1  shox2  camta1a  slc9a3.2  afap1  kcnh6a  kdr  tnpo1  ptcd2  map1b  fubp3  slc4a1a  nmu  asb16  slc9a5  fhod1  EFEMP1  rfx7a  gata3  card14  tuba1a  six3a  rasgrf2a  EPHB3  pi4kaa  nrp2a  ip6k2a  ryk  bach1b  grb10b  RASSF5  dlg5b.1  ing4  fer  rps6kb1a  foxp4  phip  slc25a38b  anapc4  DGKD  ntrk2b  gna14  nyap2a  irs1  foxo1a  klf1  nfil3-5  rgl3a  RALB  pth2rb  rbfox2  ptger1a  ASCL4  osgn1  trps1"
89,"Regulation of biological process "," mych  si:ch73-160i9.1  frrs1l  si:dkey-211g8.6  atp1b1a  pdgfra  rfx5  ago3a  sufu  nkd3  lrrc14b  mterf3  tns1b  rps19  foxe1  si:dkey-25o16.4  lzts2a  tlx3b  nlgn2b  myca  rgra  pou6f2  nr2e3  jak3  topbp1  kita  nr2f6b  TENM3  babam1  plvapb  tbx5a  clocka  cables2a  OPRL1  NPBWR1  myt1a  foxd1  si:ch211-203d1.3  asxl1  shox2  camta1a  afap1  kcnh6a  kdr  tnpo1  ptcd2  map1b  fubp3  nmu  asb16  fhod1  EFEMP1  rfx7a  gata3  card14  tuba1a  six3a  rasgrf2a  EPHB3  pi4kaa  nrp2a  ip6k2a  ryk  bach1b  grb10b  RASSF5  dlg5b.1  ing4  fer  rps6kb1a  foxp4  phip  anapc4  DGKD  ntrk2b  gna14  nyap2a  irs1  foxo1a  klf1  nfil3-5  rgl3a  RALB  pth2rb  rbfox2  ptger1a  ASCL4  osgn1  trps1"
86,"Regulation of cellular process "," mych  si:ch73-160i9.1  frrs1l  si:dkey-211g8.6  pdgfra  rfx5  ago3a  sufu  nkd3  lrrc14b  mterf3  tns1b  rps19  foxe1  si:dkey-25o16.4  lzts2a  tlx3b  nlgn2b  myca  rgra  pou6f2  nr2e3  jak3  topbp1  kita  nr2f6b  TENM3  babam1  plvapb  tbx5a  clocka  cables2a  OPRL1  NPBWR1  myt1a  foxd1  si:ch211-203d1.3  asxl1  shox2  camta1a  afap1  kcnh6a  kdr  tnpo1  ptcd2  map1b  fubp3  asb16  fhod1  EFEMP1  rfx7a  gata3  card14  tuba1a  six3a  rasgrf2a  EPHB3  pi4kaa  nrp2a  ip6k2a  ryk  bach1b  grb10b  RASSF5  dlg5b.1  ing4  fer  rps6kb1a  foxp4  phip  anapc4  DGKD  ntrk2b  gna14  nyap2a  irs1  foxo1a  nfil3-5  rgl3a  RALB  pth2rb  rbfox2  ptger1a  ASCL4  osgn1  trps1"
66,"Multicellular organismal process "," mych  slc30a8  phkg1a  atp1b1a  lpp  synpo2la  pogza  sufu  uqcrb  cadm4  rab11a  rps19  foxe1  lzts2a  rgra  pou6f2  nr2e3  jak3  topbp1  TENM3  plvapb  tbx5a  clocka  shox2  lingo2a  map3k3  kcnh6a  kdr  tnpo1  map1b  slc4a1a  lgi1a  tmem165  nmu  skib  slc12a2  gata3  tuba1a  six3a  gdf11  pi4kaa  nrp2a  ryk  cct8  fndc3a  ing4  fer  slc2a12  tbpl1  eya4  slc25a38b  slc25a46  ctnna2  camk4  ntrk2b  pcsk5a  nyap2a  foxo1a  klf1  nfil3-5  ccdc151  mgat5  pde6ha  pigu  gfra1b  bnc2"
66,"Developmental process "," mych  slc30a8  phkg1a  atp1b1a  lpp  synpo2la  pogza  sufu  nkd3  lrrc14b  uqcrb  cadm4  rab11a  rps19  foxe1  dusp27  lzts2a  pou6f2  nr2e3  jak3  topbp1  TENM3  tbx5a  clocka  myt1a  shox2  lingo2a  map3k3  kdr  tnpo1  map1b  slc4a1a  lgi1a  tmem165  skib  slc12a2  gata3  tuba1a  prph  six3a  pmela  gdf11  pi4kaa  nrp2a  ryk  fndc3a  dyrk3  ing4  fer  slc2a12  tbpl1  eya4  slc25a38b  nek1  slc25a46  ctnna2  camk4  ntrk2b  pcsk5a  nyap2a  foxo1a  klf1  ccdc151  mgat5  gfra1b  bnc2"
64,"Anatomical structure development "," mych  slc30a8  phkg1a  atp1b1a  lpp  synpo2la  pogza  sufu  nkd3  uqcrb  cadm4  rab11a  rps19  foxe1  dusp27  lzts2a  pou6f2  nr2e3  jak3  topbp1  TENM3  tbx5a  clocka  myt1a  shox2  lingo2a  map3k3  kdr  tnpo1  map1b  slc4a1a  lgi1a  tmem165  skib  slc12a2  gata3  tuba1a  prph  six3a  gdf11  pi4kaa  nrp2a  ryk  fndc3a  dyrk3  ing4  fer  slc2a12  tbpl1  eya4  slc25a38b  nek1  slc25a46  ctnna2  camk4  ntrk2b  pcsk5a  nyap2a  foxo1a  klf1  ccdc151  mgat5  gfra1b  bnc2"
55,"Biosynthetic process "," mych  alg2  ext1b  GBE1  phkg1a  olah  rfx5  lrrc14b  mterf3  cox10  rps19  foxe1  twnk  tlx3b  myca  pou6f2  nr2e3  cyp11a2  rps28  b3gnt3.4  nr2f6b  tbx5a  clocka  myt1a  foxd1  asxl1  shox2  camta1a  ablim2  fubp3  srd5a3  tmem165  ASS1  chst14  rfx7a  gata3  six3a  ckmt2a  pi4kaa  ip6k2a  bach1b  fer  tbpl1  rps12  foxp4  slc25a38b  rpsa  lig4  foxo1a  nfil3-5  mgat5  FUT9  ASCL4  pigu  trps1"
53,"Response to stimulus "," si:ch73-160i9.1  frrs1l  si:dkey-211g8.6  pdgfra  sufu  nkd3  tns1b  rps19  lzts2a  rgra  jak3  topbp1  kita  TENM3  babam1  plvapb  clocka  OPRL1  NPBWR1  rab14l  afap1  kdr  tnpo1  asb16  si:dkey-260c8.8  EFEMP1  gata3  eif2ak3  rasgrf2a  EPHB3  pi4kaa  nrp2a  ip6k2a  ryk  cct8  grb10b  RASSF5  fer  slc2a12  eya4  rps6kb1a  phip  lig4  DGKD  ntrk2b  gna14  nyap2a  irs1  rgl3a  RALB  pth2rb  ptger1a  pigu"
