"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0139937378117334,45,1335,1.89466105449712,"Protein modification process "," http://amigo.geneontology.org/amigo/term/GO:0036211"," prmt3  alg2  meaf6  ext1b  phkg1a  pdgfra  camk2g2  dusp27  arih1  b3gnt3.4  jak3  kita  si:ch211-203d1.3  pcmtd2a  strada  map3k3  abl1  kdr  MARK1  srd5a3  tmem165  hipk3b  eif2ak3  cdk2  ARPC4-TTLL3  EPHB3  ryk  MAPKAPK2  dyrk3  ing4  SGK1  fer  pja2  rps6kb1a  nek1  PPIF  camk4  ntrk2b  NEK3  ilkap  ptprt  ptpn4b  mgat5  FUT9  pigu"
0.0139937378117334,47,1422,1.85754225441606,"Macromolecule modification "," http://amigo.geneontology.org/amigo/term/GO:0043412"," prmt3  alg2  meaf6  ext1b  phkg1a  pdgfra  camk2g2  dusp27  arih1  b3gnt3.4  jak3  kita  gtpbp3  si:ch211-203d1.3  pcmtd2a  strada  map3k3  abl1  kdr  MARK1  srd5a3  tmem165  hipk3b  eif2ak3  cdk2  ARPC4-TTLL3  EPHB3  ryk  MAPKAPK2  dyrk3  ing4  SGK1  fer  pja2  rps6kb1a  nek1  PPIF  camk4  ntrk2b  NEK3  ilkap  ptprt  ptpn4b  mgat5  FUT9  pigu  trub1"
0.0139937378117334,45,1335,1.89466105449712,"Cellular protein modification process "," http://amigo.geneontology.org/amigo/term/GO:0006464"," prmt3  alg2  meaf6  ext1b  phkg1a  pdgfra  camk2g2  dusp27  arih1  b3gnt3.4  jak3  kita  si:ch211-203d1.3  pcmtd2a  strada  map3k3  abl1  kdr  MARK1  srd5a3  tmem165  hipk3b  eif2ak3  cdk2  ARPC4-TTLL3  EPHB3  ryk  MAPKAPK2  dyrk3  ing4  SGK1  fer  pja2  rps6kb1a  nek1  PPIF  camk4  ntrk2b  NEK3  ilkap  ptprt  ptpn4b  mgat5  FUT9  pigu"
0.0139937378117334,12,153,4.39858566377371,"Transmembrane receptor protein tyrosine kinase signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0007169"," pdgfra  kita  kdr  EFEMP1  gata3  EPHB3  nrp2a  grb10b  fer  phip  ntrk2b  irs1"
0.018212341678065,4,15,14.9551912568306,"Response to insulin "," http://amigo.geneontology.org/amigo/term/GO:0032868"," grb10b  slc2a12  phip  irs1"
0.018212341678065,4,15,14.9551912568306,"Cellular response to insulin stimulus "," http://amigo.geneontology.org/amigo/term/GO:0032869"," grb10b  slc2a12  phip  irs1"
0.018212341678065,4,16,14.0204918032787,"Response to peptide hormone "," http://amigo.geneontology.org/amigo/term/GO:0043434"," grb10b  slc2a12  phip  irs1"
0.018212341678065,4,16,14.0204918032787,"Cellular response to peptide hormone stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071375"," grb10b  slc2a12  phip  irs1"
0.018212341678065,4,16,14.0204918032787,"Response to peptide "," http://amigo.geneontology.org/amigo/term/GO:1901652"," grb10b  slc2a12  phip  irs1"
0.018212341678065,4,16,14.0204918032787,"Cellular response to peptide "," http://amigo.geneontology.org/amigo/term/GO:1901653"," grb10b  slc2a12  phip  irs1"
