"N","High level GO category","Genes"
52,"Membrane "," palm1a  slc39a6  B3GAT1  ankha  efna2b  cacng3a  tap1  ptprub  mvb12bb  PTCHD3  yme1l1a  plekhb2  pigx  kcnk5b  trpm1b  fzd3b  si:ch211-51a6.2  gpr158a  cryaba  adcy7  si:dkey-183j2.10  nkd1  nlgn4xa  adipor1a  slc4a2b  dpy19l1l  tmem86a  b4galnt4a  aqp9b  slc4a7  epcam  gpr17  adrb3a  prlhr2a  adgra2  ADAMTS7  rap1ab  rxfp3.3a2  si:dkey-43k4.5  drd4b  adra2c  slc25a16  vdac2  slc35a5  gpr161  ackr4a  mipb  itga5  kcnk2a  il7r  or135-1  slc12a5b"
50,"Intracellular anatomical structure "," irx5a  ptbp1b  arhgdia  pbx2  taf12  mvb12bb  ing5a  pigx  nt5c1bb  rps27l  id2a  ngly1  irx2a  irx1a  myo3a  chchd1  ldb1a  skib  DLAT  nkd1  hnrnpua  tbx20  b4galnt4a  calr  epcam  plekhh2  nt5c3a  htt  myo9aa  clasp1a  trip4  setb  lrpap1  amotl2a  wdr11  eif4e1c  slc25a16  polr2m  vdac2  nuf2  nol7  slc35a5  DYNC2H1  spo11  cenpf  prox1a  myo5b  sulf2b  si:ch211-218g4.2  phf20b"
42,"Organelle "," irx5a  ptbp1b  pbx2  taf12  mvb12bb  ing5a  pigx  rps27l  id2a  irx2a  irx1a  myo3a  chchd1  ldb1a  skib  hnrnpua  tbx20  b4galnt4a  calr  plekhh2  htt  myo9aa  clasp1a  trip4  setb  lrpap1  amotl2a  wdr11  slc25a16  polr2m  vdac2  nuf2  nol7  slc35a5  DYNC2H1  spo11  cenpf  prox1a  myo5b  sulf2b  si:ch211-218g4.2  phf20b"
42,"Intracellular organelle "," irx5a  ptbp1b  pbx2  taf12  mvb12bb  ing5a  pigx  rps27l  id2a  irx2a  irx1a  myo3a  chchd1  ldb1a  skib  hnrnpua  tbx20  b4galnt4a  calr  plekhh2  htt  myo9aa  clasp1a  trip4  setb  lrpap1  amotl2a  wdr11  slc25a16  polr2m  vdac2  nuf2  nol7  slc35a5  DYNC2H1  spo11  cenpf  prox1a  myo5b  sulf2b  si:ch211-218g4.2  phf20b"
30,"Intrinsic component of membrane "," ankha  cacng3a  tap1  PTCHD3  plekhb2  trpm1b  fzd3b  gpr158a  adipor1a  slc4a2b  dpy19l1l  tmem86a  aqp9b  slc4a7  epcam  gpr17  adrb3a  prlhr2a  adgra2  ADAMTS7  rxfp3.3a2  si:dkey-43k4.5  drd4b  adra2c  slc35a5  gpr161  ackr4a  itga5  or135-1  slc12a5b"
30,"Membrane-bounded organelle "," irx5a  ptbp1b  pbx2  taf12  mvb12bb  ing5a  pigx  id2a  irx2a  irx1a  chchd1  ldb1a  skib  hnrnpua  tbx20  b4galnt4a  calr  htt  trip4  setb  lrpap1  wdr11  slc25a16  polr2m  vdac2  nol7  slc35a5  prox1a  sulf2b  phf20b"
19,"Protein-containing complex "," taf12  mvb12bb  ing5a  myo3a  DLAT  adgra2  myo9aa  si:dkey-43k4.5  polr2m  tarbp2  nuf2  e2f5  DYNC2H1  zer1  itga5  myo5b  phf20b"
14,"Non-membrane-bounded organelle "," rps27l  myo3a  chchd1  plekhh2  myo9aa  clasp1a  amotl2a  wdr11  nuf2  DYNC2H1  spo11  cenpf  myo5b  si:ch211-218g4.2"
13,"Cell periphery "," cryaba  adcy7  nkd1  epcam  adgra2  ADAMTS7  si:dkey-43k4.5  drd4b  amotl2a  vdac2  itga5  fmodb  slc12a5b"
11,"Plasma membrane "," cryaba  adcy7  nkd1  epcam  adgra2  ADAMTS7  si:dkey-43k4.5  drd4b  vdac2  itga5  slc12a5b"
7,"Endomembrane system "," mvb12bb  pigx  b4galnt4a  calr  lrpap1  slc35a5  sulf2b"
6,"Organelle membrane "," mvb12bb  pigx  b4galnt4a  slc25a16  vdac2  slc35a5"
5,"Extracellular region "," pomca  rnpep  epdr1  anos1b"
5,"Membrane-enclosed lumen "," taf12  ing5a  chchd1  polr2m  phf20b"
5,"Organelle lumen "," taf12  ing5a  chchd1  polr2m  phf20b"
3,"Membrane protein complex "," mvb12bb  si:dkey-43k4.5  itga5"
2,"Cell junction "," ADAMTS7  amotl2a"
2,"Supramolecular fiber "," clasp1a  amotl2a"
2,"Envelope "," slc25a16  vdac2"
2,"Cell projection "," sptan1  wdr11"
2,"Plasma membrane region "," epcam  ADAMTS7"
2,"Polymeric cytoskeletal fiber "," clasp1a  amotl2a"
1,"Synapse "," ADAMTS7"
1,"Organellar ribosome "," chchd1"
1,"Extracellular space "," rnpep"
1,"Endoplasmic reticulum membrane "," pigx"
1,"Cell-cell junction "," amotl2a"
1,"Cilium "," wdr11"
1,"Cell surface "," sulf2b"
1,"Outer membrane "," vdac2"
1,"External encapsulating structure "," fmodb"
1,"Extracellular matrix "," fmodb"
1,"Methyltransferase complex "," phf20b"
1,"Nuclear outer membrane-endoplasmic reticulum membrane network "," pigx"
1,"Basal part of cell "," epcam"
1,"Anchoring junction "," amotl2a"
1,"Synaptic membrane "," ADAMTS7"
1,"Postsynapse "," ADAMTS7"
1,"Endoribonuclease complex "," tarbp2"
1,"Oxidoreductase complex "," DLAT"
