"N","High level GO category","Genes"
92,"Catalytic activity "," cyp27c1  ercc3  camk2g2  nudt9  ndst2a  ALDOA  si:dkey-37o8.1  recql5  B3GAT1  pde3a  top2b  prkcba  ctps1b  dnase2  galt  tap1  usp3  si:dkey-34d22.5  ern2  plk1  ptprub  plcl2  DAPK2  VPS4B  si:dkey-61p9.11  yme1l1a  idh3a  rabl2  zgc:77752  lats1  taok2a  nt5c1bb  pak2b  nlk1  megf8  mastl  rnf144aa  oxsm  gad2  myo3a  cdc42bpaa  si:ch211-51a6.2  polr1c  pnpla6  mapk3  LYN  ankk1  sdr16c5b  sik2b  uap1l1  zdhhc12b  plppr1  pkn3  plch2b  DLAT  adam10a  tmprss5  adcy7  ggh  cylda  rnpep  grk4  th  adpgk2  lipca  b4galnt4a  aldh1a2  got1l1  hdac3  nt5c3a  bckdhb  ADAMTS7  rap1ab  pkdcca  zgc:153981  si:ch211-223p8.8  SLK  rab6ba  tet1  alox5a  comtd1  rab43  f5  DYNC2H1  PTGES2  spo11  mapkapk2b  sulf2b  lsg1"
73,"Ion binding "," cyp27c1  wdfy2  ercc3  camk2g2  si:dkey-37o8.1  recql5  top2b  prkcba  zswim8  galt  tap1  usp3  si:dkey-34d22.5  ern2  plk1  plcl2  DAPK2  VPS4B  cib2  yme1l1a  idh3a  rabl2  arf5  lats1  taok2a  nt5c1bb  DNAJA4  pak2b  nlk1  megf8  mastl  gad2  myo3a  cdc42bpaa  mapk3  LYN  ankk1  sik2b  pkn3  plch2b  nkd1  rnpep  grk4  th  tor3a  calr  got1l1  crtac1a  nt5c3a  myo9aa  trip4  rap1ab  sirt3  sptan1  pkdcca  SLK  rab6ba  zgc:110319  tet1  alox5a  zfand4  march8  lrp1aa  rab43  epdr1  f5  DYNC2H1  spo11  capslb  mapkapk2b  myo5b  sulf2b  lsg1"
72,"Organic cyclic compound binding "," ebf2  irx5a  cyp27c1  ercc3  camk2g2  ptbp1b  alyref  si:dkey-37o8.1  recql5  top2b  prkcba  pbx2  tap1  si:dkey-34d22.5  ern2  plk1  lmx1bb  DAPK2  VPS4B  yme1l1a  idh3a  msi2a  rabl2  arf5  lats1  taok2a  nt5c1bb  DNAJA4  pak2b  nlk1  megf8  mastl  acbd5a  gad2  irx2a  irx1a  myo3a  cdc42bpaa  polr1c  mapk3  LYN  tra2a  ankk1  igf2bp3  sik2b  pkn3  grk4  kdm5ba  cirbpa  tor3a  got1l1  MAF  myo9aa  rap1ab  sirt3  pkdcca  SLK  rab6ba  eif4e1c  tet1  tarbp2  rab43  DYNC2H1  spo11  rbm38  baz2a  prox1a  mapkapk2b  myo5b  eif2d  lsg1  qkia"
72,"Heterocyclic compound binding "," ebf2  irx5a  cyp27c1  ercc3  camk2g2  ptbp1b  alyref  si:dkey-37o8.1  recql5  top2b  prkcba  pbx2  tap1  si:dkey-34d22.5  ern2  plk1  lmx1bb  DAPK2  VPS4B  yme1l1a  idh3a  msi2a  rabl2  arf5  lats1  taok2a  nt5c1bb  DNAJA4  pak2b  nlk1  megf8  mastl  acbd5a  gad2  irx2a  irx1a  myo3a  cdc42bpaa  polr1c  mapk3  LYN  tra2a  ankk1  igf2bp3  sik2b  pkn3  grk4  kdm5ba  cirbpa  tor3a  got1l1  MAF  myo9aa  rap1ab  sirt3  pkdcca  SLK  rab6ba  eif4e1c  tet1  tarbp2  rab43  DYNC2H1  spo11  rbm38  baz2a  prox1a  mapkapk2b  myo5b  eif2d  lsg1  qkia"
49,"Small molecule binding "," ercc3  camk2g2  si:dkey-37o8.1  recql5  top2b  prkcba  tap1  si:dkey-34d22.5  ern2  plk1  plcl2  DAPK2  VPS4B  yme1l1a  idh3a  rabl2  arf5  lats1  taok2a  nt5c1bb  DNAJA4  pak2b  nlk1  megf8  mastl  acbd5a  gad2  myo3a  cdc42bpaa  mapk3  LYN  ankk1  sik2b  pkn3  grk4  tor3a  got1l1  myo9aa  rap1ab  sirt3  pkdcca  SLK  rab6ba  rab43  DYNC2H1  spo11  mapkapk2b  myo5b  lsg1"
44,"Carbohydrate derivative binding "," ercc3  camk2g2  si:dkey-37o8.1  recql5  top2b  prkcba  tap1  si:dkey-34d22.5  ern2  plk1  DAPK2  VPS4B  yme1l1a  rabl2  arf5  lats1  taok2a  DNAJA4  pak2b  nlk1  megf8  mastl  acbd5a  myo3a  cdc42bpaa  mapk3  LYN  ankk1  sik2b  pkn3  grk4  tor3a  myo9aa  rap1ab  lrpap1  pkdcca  SLK  rab6ba  rab43  DYNC2H1  spo11  mapkapk2b  myo5b  lsg1"
42,"Hydrolase activity "," ercc3  nudt9  ndst2a  si:dkey-37o8.1  pde3a  dnase2  tap1  usp3  si:dkey-34d22.5  ern2  ptprub  plcl2  VPS4B  yme1l1a  rabl2  zgc:77752  nt5c1bb  megf8  si:ch211-51a6.2  pnpla6  plppr1  plch2b  adam10a  tmprss5  ggh  cylda  rnpep  lipca  hdac3  nt5c3a  ADAMTS7  rap1ab  zgc:153981  si:ch211-223p8.8  rab6ba  rab43  DYNC2H1  spo11  sulf2b  lsg1"
35,"Transferase activity "," camk2g2  ndst2a  B3GAT1  prkcba  galt  ern2  plk1  DAPK2  si:dkey-61p9.11  lats1  taok2a  pak2b  nlk1  mastl  rnf144aa  oxsm  myo3a  cdc42bpaa  polr1c  mapk3  LYN  ankk1  sik2b  uap1l1  zdhhc12b  pkn3  DLAT  grk4  adpgk2  b4galnt4a  got1l1  pkdcca  SLK  comtd1  mapkapk2b"
16,"Transporter activity "," slc39a6  ankha  tap1  kcnk5b  trpm1b  si:dkey-183j2.10  slc4a2b  aqp9b  slc4a7  ADAMTS7  si:dkey-43k4.5  vdac2  slc35a5  mipb  kcnk2a  slc12a5b"
16,"Molecular function regulator "," pomca  asap1b  arhgdia  rgl2  sbf2  ralgps1  abi1a  si:dkey-191g9.5  lft2  rabif  myo9aa  rgs12b  lrpap1  bmp7b  anos1b"
16,"Transmembrane transporter activity "," slc39a6  ankha  tap1  kcnk5b  trpm1b  si:dkey-183j2.10  slc4a2b  aqp9b  slc4a7  ADAMTS7  si:dkey-43k4.5  vdac2  slc35a5  mipb  kcnk2a  slc12a5b"
15,"Molecular transducer activity "," fzd3b  gpr158a  si:dkey-183j2.10  gpr17  adrb3a  prlhr2a  adgra2  ADAMTS7  rxfp3.3a2  drd4b  adra2c  gpr161  ackr4a  il7r  or135-1"
15,"Signaling receptor activity "," fzd3b  gpr158a  si:dkey-183j2.10  gpr17  adrb3a  prlhr2a  adgra2  ADAMTS7  rxfp3.3a2  drd4b  adra2c  gpr161  ackr4a  il7r  or135-1"
11,"DNA-binding transcription factor activity "," ebf2  irx5a  myca  pbx2  lmx1bb  irx2a  irx1a  tbx20  MAF  e2f5"
11,"Enzyme regulator activity "," asap1b  arhgdia  rgl2  sbf2  ralgps1  abi1a  si:dkey-191g9.5  rabif  myo9aa  rgs12b  anos1b"
10,"Oxidoreductase activity "," cyp27c1  idh3a  sdr16c5b  th  aldh1a2  tet1  alox5a  f5  PTGES2"
5,"Signaling receptor regulator activity "," pomca  lft2  lrpap1  bmp7b"
4,"Lyase activity "," ALDOA  gad2  adcy7  alox5a"
4,"Receptor ligand activity "," pomca  lft2  bmp7b"
3,"Translation regulator activity "," si:dkey-37o8.1  eif4e1c  eif2d"
3,"Guanyl-nucleotide exchange factor activity "," rgl2  ralgps1  rabif"
3,"Lipid binding "," osbpl1a  osbpl9  snx9a"
3,"Protein-containing complex binding "," fscn1b  cenpf  myo5b"
3,"Translation regulator activity, nucleic acid binding "," si:dkey-37o8.1  eif4e1c  eif2d"
2,"Structural molecule activity "," rps27l  cryaba"
2,"Isomerase activity "," top2b  PTGES2"
2,"Sulfur compound binding "," acbd5a  lrpap1"
