"","Var1","Freq"
"1","0",1343230
"2","1",3677908
"3","2",2302961
"4","3",1450129
"5","4",951663
"6","5",692012
"7","6",542090
"8","7",445176
"9","8",380716
"10","9",332908
"11","10",299486
"12","11",273959
"13","12",251805
"14","13",227158
"15","14",199069
"16","15",169321
"17","16",139294
"18","17",111199
"19","18",85152
"20","19",62225
"21","20",43545
"22","21",29391
"23","22",19099
"24","23",12095
"25","24",7448
"26","25",4472
"27","26",2718
"28","27",1630
"29","28",916
"30","29",509
"31","30",333
"32","31",191
"33","32",129
"34","33",72
"35","34",56
"36","35",34
"37","36",35
"38","37",33
"39","38",25
"40","39",25
"41","40",21
"42","41",15
"43","42",12
"44","43",11
"45","44",7
"46","45",8
"47","46",8
"48","47",8
"49","48",1
"50","49",3
"51","51",1
