"Sample","Population.Year","pop","Year.Collected","GENOME_TERRITORY","MEAN_COVERAGE","SD_COVERAGE","MEDIAN_COVERAGE","MAD_COVERAGE","PCT_EXC_MAPQ","PCT_EXC_DUPE","PCT_EXC_UNPAIRED","PCT_EXC_BASEQ","PCT_EXC_OVERLAP","PCT_EXC_CAPPED","PCT_EXC_TOTAL","PCT_1X","PCT_5X","PCT_10X","PCT_15X","PCT_20X","PCT_25X","PCT_30X","PCT_40X","PCT_50X","PCT_60X","PCT_70X","PCT_80X","PCT_90X","PCT_100X","HET_SNP_SENSITIVITY","HET_SNP_Q"
"0356_PWS07","PWS07","PWS",2007,724810791,0.771349,1.338327,0,0,0.168594,0,0.001338,0.022968,0.135971,0.000921,0.329793,0.4909,0.005454,0.000442,0.000195,0.000121,8.5e-05,6.4e-05,4.4e-05,3.6e-05,3.1e-05,2.7e-05,2.4e-05,2.1e-05,1.9e-05,0.289731,1
"0357_PWS07","PWS07","PWS",2007,724810791,1.174695,1.736108,1,1,0.162681,0,0.000955,0.021392,0.168742,0.000959,0.354729,0.623529,0.017533,0.001032,0.000411,0.000232,0.000157,0.00012,8.5e-05,6.2e-05,4.7e-05,3.9e-05,3.5e-05,3.2e-05,2.9e-05,0.396866,2
"0358_PWS07","PWS07","PWS",2007,724810791,1.294843,1.900028,1,1,0.15725,0,0.001083,0.021734,0.143907,0.001705,0.325678,0.651925,0.023652,0.001238,0.000464,0.000254,0.000165,0.00012,8e-05,6.2e-05,5.2e-05,4.5e-05,4.1e-05,3.8e-05,3.5e-05,0.417404,2
"0359_PWS07","PWS07","PWS",2007,724810791,1.633983,2.061448,1,1,0.154992,0,0.000847,0.020109,0.176813,0.001057,0.353818,0.719557,0.046223,0.002064,0.000728,0.000369,0.000226,0.000158,9.7e-05,7e-05,5.7e-05,5e-05,4.4e-05,3.9e-05,3.6e-05,0.487966,3
"0360_PWS07","PWS07","PWS",2007,724810791,1.469892,2.018251,1,1,0.150716,0,0.000568,0.018053,0.232682,0.001487,0.403506,0.684885,0.035721,0.001839,0.000695,0.000363,0.000226,0.000153,9.1e-05,6.9e-05,5.8e-05,5.1e-05,4.5e-05,4.1e-05,3.7e-05,0.469657,3
"0361_PWS07","PWS07","PWS",2007,724810791,1.331589,1.934057,1,1,0.153136,0,0.000715,0.019441,0.212013,0.001469,0.386774,0.658436,0.026323,0.00142,0.000518,0.000275,0.000181,0.000135,9.1e-05,6.8e-05,5.5e-05,4.7e-05,4.3e-05,3.9e-05,3.6e-05,0.438294,3
"0362_PWS07","PWS07","PWS",2007,724810791,1.662828,2.160855,1,1,0.149275,0,0.00052,0.017676,0.243564,0.00144,0.412475,0.719781,0.050125,0.002168,0.00077,0.000395,0.000244,0.000171,0.000105,8e-05,6.7e-05,5.9e-05,5.3e-05,4.8e-05,4.4e-05,0.506733,3
"0363_PWS07","PWS07","PWS",2007,724810791,1.542468,2.057759,1,1,0.145755,0,0.000592,0.018093,0.229693,0.001665,0.395798,0.698678,0.041006,0.00183,0.000628,0.000312,0.000196,0.000145,9.5e-05,7e-05,5.7e-05,5e-05,4.5e-05,4.1e-05,3.8e-05,0.483204,3
"0364_PWS07","PWS07","PWS",2007,724810791,1.091386,1.716697,1,1,0.154498,0,0.000635,0.019019,0.214378,0.001174,0.389706,0.601377,0.013588,0.000866,0.000346,0.000201,0.000139,0.000109,7.7e-05,5.9e-05,4.8e-05,4.1e-05,3.7e-05,3.3e-05,3e-05,0.389201,2
"0365_PWS07","PWS07","PWS",2007,724810791,1.351519,1.941498,1,1,0.154861,0,0.000474,0.017254,0.256194,0.0016,0.430384,0.664649,0.026735,0.001362,0.000482,0.000248,0.000162,0.000121,8.5e-05,6.9e-05,5.8e-05,5.1e-05,4.6e-05,4.1e-05,3.7e-05,0.455877,3
"0366_PWS07","PWS07","PWS",2007,724810791,1.407501,1.958731,1,1,0.147803,0,0.000839,0.020397,0.178145,0.001465,0.348649,0.674434,0.030869,0.001601,0.000604,0.000309,0.000188,0.000133,8.5e-05,6.4e-05,5.3e-05,4.7e-05,4.3e-05,3.8e-05,3.5e-05,0.446395,3
"0367_PWS07","PWS07","PWS",2007,724810791,1.434383,1.963778,1,1,0.162546,0,0.000856,0.020546,0.173667,0.001215,0.35883,0.680949,0.032689,0.001581,0.000596,0.000319,0.000208,0.000151,9.6e-05,7.3e-05,6.1e-05,5.3e-05,4.6e-05,4e-05,3.6e-05,0.449286,3
"0385_TB17","TB17","TB",2017,724810791,1.180661,1.876539,1,1,0.165061,0,0.000984,0.02112,0.156872,0.002075,0.346113,0.621357,0.019069,0.000897,0.000348,0.000203,0.000147,0.000116,8.6e-05,7e-05,5.9e-05,5.1e-05,4.5e-05,4.1e-05,3.8e-05,0.394044,2
"0386_TB17","TB17","TB",2017,724810791,0.989486,1.615085,1,1,0.154553,0,0.001181,0.022108,0.141811,0.00136,0.321014,0.571142,0.010252,0.000553,0.000223,0.000129,9.4e-05,7.6e-05,5.9e-05,4.9e-05,4.3e-05,3.8e-05,3.5e-05,3.2e-05,3e-05,0.348181,2
"0387_TB17","TB17","TB",2017,724810791,1.037943,1.568697,1,1,0.148904,0,0.001606,0.023457,0.103623,0.000914,0.278504,0.583544,0.01253,0.000657,0.000254,0.000145,0.000102,8.1e-05,6e-05,4.8e-05,3.9e-05,3.3e-05,3e-05,2.6e-05,2.4e-05,0.352042,2
"0388_TB17","TB17","TB",2017,724810791,1.095815,1.676613,1,1,0.15298,0,0.001187,0.021137,0.14776,0.00091,0.323975,0.603482,0.013847,0.000765,0.000303,0.00018,0.000128,0.000102,7.2e-05,5.9e-05,4.9e-05,4.3e-05,3.8e-05,3.3e-05,2.9e-05,0.375611,2
"0389_TB17","TB17","TB",2017,724810791,1.313932,1.905491,1,1,0.151026,0,0.00122,0.021329,0.145701,0.002132,0.321409,0.654163,0.025874,0.001242,0.000435,0.000237,0.000161,0.000125,8.9e-05,6.9e-05,5.8e-05,5e-05,4.4e-05,4e-05,3.6e-05,0.420134,2
"0390_TB17","TB17","TB",2017,724810791,1.216045,1.809662,1,1,0.149112,0,0.001119,0.020873,0.151968,0.001493,0.324566,0.634202,0.019354,0.000976,0.000371,0.000212,0.000146,0.000111,7.9e-05,6.4e-05,5.3e-05,4.7e-05,4.1e-05,3.8e-05,3.5e-05,0.403381,2
"0391_TB17","TB17","TB",2017,724810791,1.172111,1.768028,1,1,0.149201,0,0.001331,0.022156,0.126193,0.001745,0.300627,0.622725,0.017447,0.000928,0.000346,0.000195,0.000139,0.00011,7.7e-05,5.9e-05,4.9e-05,4.1e-05,3.7e-05,3.4e-05,3.2e-05,0.387067,2
"0392_TB17","TB17","TB",2017,724810791,0.967015,1.584199,1,1,0.147297,0,0.00124,0.02287,0.126905,0.001465,0.299777,0.560176,0.010183,0.000597,0.000235,0.000136,9.8e-05,7.8e-05,6e-05,5.1e-05,4.3e-05,3.7e-05,3.3e-05,3e-05,2.8e-05,0.3361,2
"0393_SS96","SS96","SS",1996,724810791,0.892696,1.439609,1,1,0.151504,0,0.001381,0.022698,0.119811,0.000494,0.295888,0.534267,0.008461,0.000635,0.000244,0.000138,9.5e-05,7.5e-05,5.3e-05,4.1e-05,3.4e-05,2.9e-05,2.5e-05,2.2e-05,1.9e-05,0.318512,2
"0394_SS96","SS96","SS",1996,724810791,1.199775,1.861087,1,1,0.146788,0,0.001092,0.020401,0.133149,0.001578,0.303008,0.61951,0.021258,0.001404,0.000537,0.000291,0.000187,0.000135,8.6e-05,6.6e-05,5.3e-05,4.4e-05,3.9e-05,3.6e-05,3.4e-05,0.389928,2
"0395_SS96","SS96","SS",1996,724810791,0.957235,1.574193,1,1,0.150195,0,0.001379,0.022326,0.114833,0.001429,0.290162,0.556439,0.010081,0.000748,0.000284,0.000161,0.000114,8.9e-05,6.4e-05,4.9e-05,4.1e-05,3.5e-05,3.1e-05,2.7e-05,2.5e-05,0.333785,2
"0396_SS96","SS96","SS",1996,724810791,0.669583,1.232989,0,0,0.150432,0,0.001533,0.023165,0.108113,0.000837,0.284081,0.446973,0.003735,0.000357,0.00015,9.6e-05,7.3e-05,5.8e-05,4.1e-05,3.2e-05,2.5e-05,2.2e-05,1.9e-05,1.7e-05,1.5e-05,0.255573,1
"0397_SS96","SS96","SS",1996,724810791,0.982658,1.598414,1,1,0.152833,0,0.001527,0.023208,0.103816,0.001147,0.282532,0.561235,0.011634,0.000846,0.000329,0.000189,0.00013,9.8e-05,6.7e-05,5.4e-05,4.6e-05,4e-05,3.6e-05,3.2e-05,2.8e-05,0.336711,2
"0398_SS96","SS96","SS",1996,724810791,0.694084,1.274455,0,0,0.149535,0,0.001804,0.024163,0.085256,0.000842,0.2616,0.455454,0.004256,0.000377,0.000155,9.7e-05,7.2e-05,5.8e-05,4.4e-05,3.6e-05,2.9e-05,2.6e-05,2.3e-05,2e-05,1.8e-05,0.256624,1
"0399_SS96","SS96","SS",1996,724810791,0.86933,1.509572,1,1,0.152105,0,0.001482,0.022895,0.106919,0.000708,0.284109,0.525463,0.007878,0.00065,0.00025,0.000144,0.000102,8e-05,6.1e-05,5.3e-05,4.7e-05,4.2e-05,3.6e-05,3.1e-05,2.6e-05,0.308961,2
"0400_SS96","SS96","SS",1996,724810791,0.69386,1.314373,0,0,0.149164,0,0.001717,0.02387,0.085123,0.000857,0.260731,0.453321,0.004516,0.00046,2e-04,0.000124,9.2e-05,7.6e-05,5.6e-05,4.2e-05,3.4e-05,2.9e-05,2.6e-05,2.3e-05,1.9e-05,0.254237,1
"0409_PWS07","PWS07","PWS",2007,724810791,1.012054,1.56443,1,1,0.159576,0,0.001205,0.021776,0.133999,0.001029,0.317585,0.577097,0.011418,0.000708,0.000273,0.000155,0.000103,8e-05,6e-05,4.8e-05,3.9e-05,3.3e-05,3e-05,2.7e-05,2.4e-05,0.353567,2
"0410_PWS07","PWS07","PWS",2007,724810791,1.182456,1.75197,1,1,0.159527,0,0.001322,0.022356,0.119937,0.001366,0.304508,0.622712,0.018843,0.001102,0.000413,0.000229,0.000151,0.00011,7.3e-05,5.6e-05,4.6e-05,3.9e-05,3.4e-05,3.1e-05,2.8e-05,0.386492,2
"0411_PWS07","PWS07","PWS",2007,724810791,1.260248,1.831377,1,1,0.157409,0,0.001033,0.020448,0.156631,0.001619,0.337139,0.642152,0.022823,0.001239,0.000446,0.000231,0.000147,0.000108,7.3e-05,6.1e-05,5.3e-05,4.6e-05,4.1e-05,3.5e-05,3.2e-05,0.413053,2
"0412_PWS07","PWS07","PWS",2007,724810791,1.198379,1.803499,1,1,0.162172,0,0.000704,0.018387,0.206852,0.001246,0.389362,0.627073,0.019573,0.001104,0.000421,0.000233,0.000154,0.000114,7.5e-05,5.8e-05,4.9e-05,4.3e-05,3.8e-05,3.4e-05,3.2e-05,0.411546,2
"0413_PWS07","PWS07","PWS",2007,724810791,1.351908,1.950778,1,1,0.156364,0,0.000817,0.02003,0.191037,0.002087,0.370335,0.663998,0.027317,0.0015,0.000582,0.000317,0.000203,0.000146,9.5e-05,7.3e-05,6.1e-05,5.1e-05,4.3e-05,3.7e-05,3.3e-05,0.435617,2
"0414_PWS07","PWS07","PWS",2007,724810791,1.159865,1.770994,1,1,0.153121,0,0.000844,0.018874,0.191784,0.001385,0.366008,0.618718,0.017119,0.001031,0.000399,0.000218,0.000146,0.00011,7.7e-05,6e-05,5.2e-05,4.5e-05,4e-05,3.6e-05,3.3e-05,0.399841,2
"0415_PWS07","PWS07","PWS",2007,724810791,1.043069,1.601152,1,1,0.150523,0,0.00085,0.025212,0.178064,0.000637,0.355286,0.585309,0.012609,0.000793,0.000313,0.000179,0.000124,9.1e-05,6.3e-05,5.2e-05,4.5e-05,4e-05,3.5e-05,3.1e-05,2.8e-05,0.363611,2
"0417_TB91","TB91","TB",1991,724810791,1.403095,2.020358,1,1,0.149781,0,0.001094,0.020318,0.154758,0.001806,0.327757,0.667831,0.033326,0.00159,0.000546,0.000286,0.000186,0.000136,9.4e-05,7.5e-05,6.6e-05,5.9e-05,5.2e-05,4.7e-05,4.3e-05,0.436387,2
"0418_TB91","TB91","TB",1991,724810791,1.280102,1.953883,1,1,0.149044,0,0.000901,0.018714,0.179319,0.002108,0.350087,0.63923,0.025895,0.001404,0.000498,0.000262,0.000176,0.000134,9.5e-05,7.5e-05,6.3e-05,5.5e-05,5e-05,4.6e-05,4.2e-05,0.417466,2
"0419_TB91","TB91","TB",1991,724810791,1.403632,2.032345,1,1,0.149416,0,0.000936,0.018826,0.172773,0.001599,0.343551,0.662505,0.035169,0.001711,0.000589,0.000308,0.000192,0.00014,9.5e-05,7.6e-05,6.6e-05,5.8e-05,5.3e-05,4.8e-05,4.3e-05,0.438615,3
"0420_TB91","TB91","TB",1991,724810791,1.066428,1.699136,1,1,0.146991,0,0.000878,0.018185,0.185649,0.001351,0.353054,0.580643,0.016103,0.000898,0.000317,0.000177,0.000124,9.6e-05,7.1e-05,5.8e-05,5e-05,4.2e-05,3.6e-05,3.2e-05,2.9e-05,0.37173,2
"0421_TB91","TB91","TB",1991,724810791,1.151044,1.781504,1,1,0.146474,0,0.001046,0.019671,0.16614,0.001333,0.334664,0.604732,0.019909,0.001056,0.000368,2e-04,0.000137,0.000105,7.7e-05,6.1e-05,5.2e-05,4.6e-05,4.1e-05,3.7e-05,3.4e-05,0.387196,2
"0422_TB91","TB91","TB",1991,724810791,1.152923,1.822893,1,1,0.148274,0,0.001017,0.019042,0.16752,0.00139,0.337243,0.604396,0.020225,0.001159,0.000404,0.000215,0.000144,0.000107,7.8e-05,6.5e-05,5.7e-05,5.1e-05,4.6e-05,4.2e-05,3.7e-05,0.386997,2
"0423_TB91","TB91","TB",1991,724810791,1.186051,1.889681,1,1,0.149056,0,0.001097,0.019489,0.157541,0.001785,0.328967,0.613523,0.021855,0.001203,0.000422,0.000228,0.000155,0.000121,8.6e-05,7e-05,6e-05,5.4e-05,4.8e-05,4.4e-05,4e-05,0.392597,2
"0424_TB91","TB91","TB",1991,724810791,1.196692,1.892236,1,1,0.146592,0,0.000962,0.01906,0.172166,0.002151,0.340932,0.618919,0.02135,0.001176,0.000434,0.000235,0.000153,0.000115,8.2e-05,6.8e-05,6e-05,5.4e-05,4.9e-05,4.5e-05,4e-05,0.397113,2
"0425_TB06","TB06","TB",2006,724810791,1.068933,1.672937,1,1,0.162515,0,0.001199,0.021793,0.142911,0.001222,0.329639,0.597006,0.012923,0.000637,0.00025,0.00015,0.000111,9.2e-05,7e-05,5.7e-05,4.7e-05,4.1e-05,3.7e-05,3.4e-05,3.1e-05,0.369732,2
"0426_TB06","TB06","TB",2006,724810791,1.007372,1.619114,1,1,0.163494,0,0.001357,0.022773,0.122386,0.001219,0.311229,0.575181,0.011496,0.000591,0.000231,0.000143,0.000107,8.8e-05,6.8e-05,5.5e-05,4.6e-05,4e-05,3.6e-05,3.3e-05,3e-05,0.349767,2
"0427_TB06","TB06","TB",2006,724810791,0.885429,1.500947,1,1,0.169161,0,0.001353,0.02222,0.127149,0.001121,0.321004,0.536304,0.007573,0.000459,0.000195,0.000124,9.5e-05,7.8e-05,6e-05,4.9e-05,4.2e-05,3.7e-05,3.2e-05,2.9e-05,2.5e-05,0.321262,2
"0428_TB06","TB06","TB",2006,724810791,0.74066,1.350954,0,0,0.175309,0,0.001256,0.021998,0.141605,0.000889,0.341057,0.47899,0.004754,0.000345,0.000159,0.000105,8e-05,6.6e-05,5.1e-05,4.2e-05,3.6e-05,3.1e-05,2.7e-05,2.4e-05,2.1e-05,0.282424,1
"0429_TB06","TB06","TB",2006,724810791,0.873826,1.478484,1,1,0.169398,0,0.001454,0.023271,0.120097,0.001007,0.315227,0.529805,0.007747,0.000452,0.000184,0.000118,8.8e-05,7.3e-05,5.5e-05,4.5e-05,3.9e-05,3.4e-05,3e-05,2.7e-05,2.4e-05,0.314354,2
"0430_TB06","TB06","TB",2006,724810791,0.912995,1.5373,1,1,0.168344,0,0.001254,0.022052,0.13198,0.001249,0.32488,0.545839,0.008207,0.000465,0.000194,0.000122,9.1e-05,7.5e-05,5.8e-05,4.8e-05,4.1e-05,3.6e-05,3.3e-05,2.9e-05,2.7e-05,0.32761,2
"0431_TB06","TB06","TB",2006,724810791,0.840423,1.456327,1,1,0.166142,0,0.001401,0.022575,0.124634,0.001114,0.315866,0.520158,0.006434,0.000381,0.000165,0.000109,8.4e-05,7e-05,5.3e-05,4.4e-05,3.8e-05,3.4e-05,3.1e-05,2.8e-05,2.5e-05,0.306614,2
"0432_TB06","TB06","TB",2006,724810791,0.864713,1.488836,1,1,0.183496,0,0.001064,0.022111,0.153607,0.000941,0.361217,0.526097,0.007694,0.000448,0.000188,0.00012,9.1e-05,7.6e-05,5.8e-05,4.6e-05,4e-05,3.7e-05,3.3e-05,2.9e-05,2.6e-05,0.317755,2
"0433_PWS07","PWS07","PWS",2007,724810791,1.231537,1.840702,1,1,0.161135,0,0.000708,0.018335,0.203793,0.001572,0.385542,0.633183,0.02187,0.001229,0.000464,0.000257,0.000172,0.000129,8.6e-05,6.5e-05,5.3e-05,4.5e-05,3.9e-05,3.5e-05,3.2e-05,0.416828,2
"0434_PWS07","PWS07","PWS",2007,724810791,1.473799,2.047126,1,1,0.158865,0,0.000678,0.01794,0.209372,0.001726,0.388581,0.684009,0.036988,0.001906,0.000717,0.000385,0.000249,0.000182,0.000121,8.8e-05,6.7e-05,5.3e-05,4.4e-05,3.9e-05,3.5e-05,0.465133,3
"0435_PWS07","PWS07","PWS",2007,724810791,1.597873,2.141849,1,1,0.15592,0,0.000709,0.01798,0.19914,0.00186,0.375609,0.707361,0.046216,0.00215,0.000759,0.000387,0.000241,0.000167,0.000105,8e-05,6.7e-05,5.9e-05,5.2e-05,4.7e-05,4.3e-05,0.484862,3
"0436_PWS07","PWS07","PWS",2007,724810791,1.139278,1.785086,1,1,0.15907,0,0.000647,0.017471,0.216298,0.001305,0.394791,0.610379,0.017049,0.001003,0.00038,0.000212,0.000141,0.000106,7.4e-05,6.1e-05,5.3e-05,4.6e-05,4.1e-05,3.8e-05,3.5e-05,0.400432,2
"0437_PWS07","PWS07","PWS",2007,724810791,1.125822,1.716281,1,1,0.151067,0,0.000811,0.018517,0.191199,0.001125,0.362719,0.606751,0.016376,0.001015,0.000389,0.000214,0.000143,0.000104,7e-05,5.6e-05,4.7e-05,4.2e-05,3.7e-05,3.4e-05,3e-05,0.390612,2
"0438_PWS07","PWS07","PWS",2007,724810791,1.3177,1.897574,1,1,0.150845,0,0.000767,0.018317,0.1917,0.00151,0.363139,0.653988,0.026001,0.001419,0.000513,0.00027,0.000172,0.000125,8.1e-05,6.4e-05,5.4e-05,4.6e-05,4.1e-05,3.7e-05,3.4e-05,0.432217,2
"0439_PWS07","PWS07","PWS",2007,724810791,1.490919,2.062531,1,1,0.152759,0,0.000831,0.018462,0.18804,0.001992,0.362084,0.691405,0.036527,0.001767,0.00065,0.000336,0.00021,0.000147,9.1e-05,6.9e-05,5.8e-05,5.2e-05,4.8e-05,4.5e-05,4.2e-05,0.465411,3
"0440_PWS07","PWS07","PWS",2007,724810791,1.47381,1.953955,1,1,0.153388,0,0.000748,0.018377,0.193124,0.001139,0.366776,0.685808,0.0365,0.001885,0.000688,0.00036,0.000222,0.000155,9.6e-05,6.8e-05,5.3e-05,4.5e-05,4.1e-05,3.7e-05,3.3e-05,0.462213,3
"0441_SS06","SS06","SS",2006,724810791,0.906451,1.426608,1,1,0.156115,0,0.001384,0.02299,0.110863,0.000672,0.292022,0.542209,0.008368,0.00059,0.00022,0.000125,8.8e-05,6.8e-05,4.5e-05,3.6e-05,3.2e-05,2.8e-05,2.5e-05,2.2e-05,2e-05,0.321871,2
"0442_SS06","SS06","SS",2006,724810791,0.763867,1.301671,0,0,0.157426,0,0.001466,0.024963,0.104388,0.000842,0.289084,0.488375,0.005151,0.000431,0.000176,0.000104,7.4e-05,5.8e-05,4.4e-05,3.5e-05,2.9e-05,2.5e-05,2.2e-05,2e-05,1.7e-05,0.281251,1
"0443_SS06","SS06","SS",2006,724810791,0.970477,1.497279,1,1,0.157297,0,0.001475,0.022995,0.104159,0.001032,0.286958,0.561456,0.010679,0.000683,0.000256,0.000144,9.7e-05,7.4e-05,5.1e-05,3.9e-05,3.2e-05,2.7e-05,2.4e-05,2.2e-05,2e-05,0.336982,2
"0444_SS06","SS06","SS",2006,724810791,0.848606,1.457234,1,1,0.161014,0,0.001292,0.022036,0.126006,0.001302,0.31165,0.520875,0.007034,0.000581,0.000225,0.000129,9e-05,7.3e-05,5.5e-05,4.4e-05,3.7e-05,3.2e-05,2.8e-05,2.5e-05,2.2e-05,0.310225,2
"0445_SS06","SS06","SS",2006,724810791,0.919925,1.514468,1,1,0.157502,0,0.001579,0.023389,0.104981,0.001482,0.288934,0.545135,0.009004,0.000647,0.00025,0.000147,0.000102,8e-05,5.6e-05,4.5e-05,3.8e-05,3.4e-05,3e-05,2.6e-05,2.3e-05,0.322434,2
"0446_SS06","SS06","SS",2006,724810791,1.004035,1.601707,1,1,0.158627,0,0.001407,0.022772,0.1143,0.001631,0.298738,0.574742,0.011009,0.000722,0.000284,0.000163,0.000111,8.5e-05,5.8e-05,4.6e-05,4.1e-05,3.5e-05,3.1e-05,2.7e-05,2.5e-05,0.347173,2
"0447_SS06","SS06","SS",2006,724810791,0.887167,1.454021,1,1,0.15726,0,0.001469,0.022878,0.110834,0.001047,0.293488,0.535853,0.007846,0.000583,0.000224,0.000129,9.2e-05,7.4e-05,5.3e-05,4.2e-05,3.5e-05,3e-05,2.6e-05,2.3e-05,2.1e-05,0.317275,2
"0448_SS06","SS06","SS",2006,724810791,0.661256,1.171359,0,0,0.173138,0,0.001579,0.023936,0.114277,0.000538,0.313469,0.444306,0.003604,0.00032,0.000136,8.5e-05,6.4e-05,5.2e-05,3.8e-05,3.1e-05,2.5e-05,2e-05,1.7e-05,1.4e-05,1.3e-05,0.252733,1
"0449_PWS96","PWS96","PWS",1996,724810791,1.543151,2.127778,1,1,0.146221,0,0.00111,0.026503,0.155135,0.001232,0.330201,0.686965,0.046082,0.002382,0.000832,0.000446,0.000295,0.000217,0.000143,0.00011,8.8e-05,7.1e-05,5.9e-05,5e-05,4.3e-05,0.453828,3
"0450_PWS96","PWS96","PWS",1996,724810791,1.526698,2.066637,1,1,0.148406,0,0.001141,0.026847,0.151969,0.001314,0.329678,0.688908,0.042864,0.00221,0.000794,0.000411,0.000259,0.000185,0.000116,8.5e-05,6.7e-05,5.5e-05,4.7e-05,4.1e-05,3.6e-05,0.452913,3
