"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.37413933783388e-05,54,1956,2.23806837062472,"Gene expression "," http://amigo.geneontology.org/amigo/term/GO:0010467"," snapc5  skia  foxp2  ints8  pax8  tfec  MED13L  atxn1a  meis2a  gtf2h5  thrb  trmt6  trim108  EPC1  arnt  meox2b  nkx2.1  NKX2-8  pax9  prpf3  CIART  TEAD4  phox2a  farsb  mrps35  yars2  pparaa  elp4  pax6b  chchd1  polr1c  ldb1a  mef2ab  gfi1ab  rfx7a  mast2  MAX  rbfox1  BPTF  prpf6  NR2F1  fam172a  nol11  nkx2.5  rars1  smad6b  rpl4  polr3a  wtap  her6  qars1  junbb  smarca4a  mier1a"
1.37413933783388e-05,49,1688,2.35264054856043,"RNA metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0016070"," snapc5  skia  foxp2  ints8  pax8  tfec  MED13L  atxn1a  meis2a  gtf2h5  thrb  trmt6  EPC1  arnt  meox2b  nkx2.1  NKX2-8  pax9  prpf3  TEAD4  phox2a  farsb  yars2  pparaa  elp4  pax6b  polr1c  ldb1a  mef2ab  tent4b  gfi1ab  rfx7a  MAX  rbfox1  BPTF  prpf6  NR2F1  fam172a  nol11  nkx2.5  rars1  smad6b  polr3a  wtap  her6  qars1  junbb  smarca4a  mier1a"
0.000167706825250134,47,1745,2.184029448748,"Cellular nitrogen compound biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0044271"," snapc5  skia  foxp2  pax8  tfec  cox10  MED13L  atxn1a  meis2a  gtf2h5  thrb  EPC1  arnt  meox2b  nkx2.1  NKX2-8  pax9  atp5mc3b  TEAD4  phox2a  farsb  mrps35  yars2  pparaa  pax6b  chchd1  polr1c  ldb1a  mef2ab  adcy7  gfi1ab  rfx7a  PRPSAP1  MAX  tsta3  BPTF  NR2F1  nkx2.5  rars1  smad6b  rpl4  polr3a  her6  qars1  junbb  smarca4a  mier1a"
0.000229369701311539,42,1503,2.26374759169563,"Organic cyclic compound biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:1901362"," snapc5  skia  foxp2  pax8  tfec  cox10  MED13L  atxn1a  meis2a  gtf2h5  thrb  gphnb  EPC1  arnt  meox2b  nkx2.1  NKX2-8  pax9  atp5mc3b  TEAD4  phox2a  pparaa  pax6b  polr1c  ldb1a  mef2ab  adcy7  gfi1ab  rfx7a  PRPSAP1  MAX  tsta3  BPTF  NR2F1  nkx2.5  smad6b  polr3a  her6  junbb  smarca4a  sdr42e2  mier1a"
0.000271016744803941,41,1471,2.25798713962431,"Heterocycle biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0018130"," snapc5  skia  foxp2  pax8  tfec  cox10  MED13L  atxn1a  meis2a  gtf2h5  thrb  gphnb  EPC1  arnt  meox2b  nkx2.1  NKX2-8  pax9  atp5mc3b  TEAD4  phox2a  pparaa  pax6b  polr1c  ldb1a  mef2ab  adcy7  gfi1ab  rfx7a  PRPSAP1  MAX  tsta3  BPTF  NR2F1  nkx2.5  smad6b  polr3a  her6  junbb  smarca4a  mier1a"
0.000384219397884215,4,8,40.4510135135135,"C-C chemokine receptor activity "," http://amigo.geneontology.org/amigo/term/GO:0016493"," ccr6a"
0.000386645373533713,20,473,3.42080452545569,"Animal organ morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0009887"," skia  pax8  cmlc1  meis2a  akap12b  kif5ba  pax9  chrna1  ush2a  pax6b  polr1c  nkd1  smyd3  pcdh17  nkx2.5  si:ch211-263k4.2  ctnna2  nav3  wnt5b  smarca4a"
0.000386645373533713,40,1462,2.21649389115143,"Aromatic compound biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0019438"," snapc5  skia  foxp2  pax8  tfec  cox10  MED13L  atxn1a  meis2a  gtf2h5  thrb  EPC1  arnt  meox2b  nkx2.1  NKX2-8  pax9  atp5mc3b  TEAD4  phox2a  pparaa  pax6b  polr1c  ldb1a  mef2ab  adcy7  gfi1ab  rfx7a  PRPSAP1  MAX  tsta3  BPTF  NR2F1  nkx2.5  smad6b  polr3a  her6  junbb  smarca4a  mier1a"
0.000413837918205207,35,1210,2.3420768783672,"Regulation of nucleobase-containing compound metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0019219"," foxp2  pax8  tfec  MED13L  atxn1a  meis2a  thrb  recql5  EPC1  arnt  meox2b  nkx2.1  NKX2-8  pax9  TEAD4  phox2a  pparaa  pax6b  ldb1a  mef2ab  gfi1ab  rfx7a  MAX  rbfox1  BPTF  NR2F1  fam172a  slf1  nkx2.5  smad6b  wtap  her6  junbb  smarca4a  mier1a"
0.000413837918205207,39,1426,2.21571562784695,"Nucleobase-containing compound biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0034654"," snapc5  skia  foxp2  pax8  tfec  MED13L  atxn1a  meis2a  gtf2h5  thrb  EPC1  arnt  meox2b  nkx2.1  NKX2-8  pax9  atp5mc3b  TEAD4  phox2a  pparaa  pax6b  polr1c  ldb1a  mef2ab  adcy7  gfi1ab  rfx7a  PRPSAP1  MAX  tsta3  BPTF  NR2F1  nkx2.5  smad6b  polr3a  her6  junbb  smarca4a  mier1a"
