"N","High level GO category","Genes"
70,"Catalytic activity "," lctlb  map2k1  uckl1b  ptprga  camk2g2  ak5l  cox10  hs3st3b1b  pkma  gmpr  ndst2a  qsox2  ENDOV  recql5  fut8b  DHDH  dhdhl  gpcpd1  trib2  nrp2b  setdb1b  gal3st3  fntb  ca14  FHIT  CLPB  farsb  yars2  agxtb  si:ch211-51a6.2  polr1c  txn2  zdhhc1  plppr1  tent4b  adcy7  ephx4  hipk3b  PRPSAP1  SPHK1  ccs  prkd4  p3h2  BRSK2  ldha  hrasa  mast2  DDX5  RHOV  GPX2  SMURF2  RAB15  tsta3  mettl22  abat  rars1  PPIF  polr3a  pak7  PLCB4  sulf2b  nav3  opa1  qars1  mast1b  smarca4a  sdr42e2  acot7  pcsk9  USP24"
67,"Organic cyclic compound binding "," map2k1  uckl1b  camk2g2  foxp2  pax8  ak5l  ARL3  atxn1a  meis2a  si:dkey-211g8.4  edf1  alyref  thrb  recql5  trib2  setdb1b  kif5ba  arnt  meox2b  cers2b  celf3b  srsf5b  nkx2.1  NKX2-8  pax9  CIART  ola1  CLPB  phox2a  farsb  yars2  pparaa  pax6b  polr1c  kif1ab  myh9b  mef2ab  tent4b  rfx7a  hipk3b  cygb2  prkd4  p3h2  BRSK2  hrasa  kif26ba  mast2  DDX5  RHOV  RAB15  rbfox1  NR2F1  aire  myo7bb  abat  nkx2.5  rars1  ZCCHC24  polr3a  pak7  her6  nav3  opa1  qars1  junbb  mast1b  smarca4a"
67,"Heterocyclic compound binding "," map2k1  uckl1b  camk2g2  foxp2  pax8  ak5l  ARL3  atxn1a  meis2a  si:dkey-211g8.4  edf1  alyref  thrb  recql5  trib2  setdb1b  kif5ba  arnt  meox2b  cers2b  celf3b  srsf5b  nkx2.1  NKX2-8  pax9  CIART  ola1  CLPB  phox2a  farsb  yars2  pparaa  pax6b  polr1c  kif1ab  myh9b  mef2ab  tent4b  rfx7a  hipk3b  cygb2  prkd4  p3h2  BRSK2  hrasa  kif26ba  mast2  DDX5  RHOV  RAB15  rbfox1  NR2F1  aire  myo7bb  abat  nkx2.5  rars1  ZCCHC24  polr3a  pak7  her6  nav3  opa1  qars1  junbb  mast1b  smarca4a"
63,"Ion binding "," map2k1  si:dkey-22o22.2  uckl1b  thbs1b  camk2g2  cmlc1  ak5l  ARL3  pkma  thrb  recql5  trib2  zswim8  trim108  setdb1b  kif5ba  actn3b  ca14  chrna1  ola1  CLPB  farsb  yars2  pparaa  kif1ab  myh9b  rcn1  lrp1ba  nkd1  calml4a  hipk3b  PRPSAP1  cygb2  ccs  prkd4  p3h2  BRSK2  hrasa  kif26ba  pcdh9  mast2  DDX5  RHOV  ZFYVE1  RAB15  NR2F1  pcdh17  myo7bb  abat  rars1  ZCCHC24  ZMIZ1  pak7  PLCB4  sulf2b  nav3  opa1  qars1  mast1b  smarca4a  ldlra  lrp8"
35,"Small molecule binding "," map2k1  uckl1b  camk2g2  ak5l  ARL3  recql5  trib2  kif5ba  ola1  CLPB  farsb  yars2  kif1ab  myh9b  hipk3b  cygb2  prkd4  p3h2  BRSK2  hrasa  kif26ba  mast2  DDX5  RHOV  RAB15  myo7bb  abat  rars1  pak7  nav3  rho  opa1  qars1  mast1b  smarca4a"
32,"Carbohydrate derivative binding "," map2k1  uckl1b  thbs1b  camk2g2  ak5l  ARL3  recql5  trib2  kif5ba  ola1  CLPB  farsb  yars2  kif1ab  myh9b  hipk3b  prkd4  BRSK2  hrasa  kif26ba  mast2  DDX5  RHOV  RAB15  myo7bb  rars1  pak7  nav3  opa1  qars1  mast1b  smarca4a"
28,"Transferase activity "," map2k1  uckl1b  camk2g2  ak5l  cox10  hs3st3b1b  pkma  ndst2a  fut8b  trib2  nrp2b  setdb1b  gal3st3  polr1c  zdhhc1  tent4b  hipk3b  PRPSAP1  SPHK1  prkd4  BRSK2  mast2  SMURF2  mettl22  abat  polr3a  pak7  mast1b"
19,"Hydrolase activity "," lctlb  ptprga  ndst2a  ENDOV  gpcpd1  CLPB  si:ch211-51a6.2  plppr1  hrasa  RHOV  RAB15  PLCB4  sulf2b  nav3  opa1  smarca4a  acot7  pcsk9  USP24"
16,"DNA-binding transcription factor activity "," foxp2  thrb  arnt  meox2b  nkx2.1  NKX2-8  pax9  TEAD4  phox2a  pparaa  pax6b  rfx7a  MAX  NR2F1  nkx2.5  junbb"
14,"Molecular transducer activity "," opn4a  thrb  itgb1b  nrp2b  cxcr5  chrna1  pparaa  ADGRL3  ccr6a  rho  ROBO1"
14,"Signaling receptor activity "," opn4a  thrb  itgb1b  nrp2b  cxcr5  chrna1  pparaa  ADGRL3  ccr6a  rho  ROBO1"
11,"Oxidoreductase activity "," gmpr  qsox2  DHDH  dhdhl  txn2  ccs  p3h2  ldha  GPX2  tsta3  sdr42e2"
10,"Transporter activity "," hcn4  slc10a1  atp5mc3b  chrna1  kcnq1.2  atp6v1d  slc9a5  PITPNC1  slc25a38a  zgc:171489"
9,"Transmembrane transporter activity "," hcn4  slc10a1  atp5mc3b  chrna1  kcnq1.2  atp6v1d  slc9a5  slc25a38a  zgc:171489"
8,"Molecular function regulator "," arhgdia  sbf2  C3  cdkn1bb  si:dkey-191g9.5  plekhg4  evi5b"
8,"Enzyme regulator activity "," arhgdia  sbf2  C3  cdkn1bb  si:dkey-191g9.5  plekhg4  evi5b"
4,"Ligase activity "," farsb  yars2  rars1  qars1"
4,"Protein-containing complex binding "," myh9b  myo7bb  ctnna2  espn"
3,"Structural molecule activity "," mrps35  ctnna2  rpl4"
3,"Lipid binding "," TEX2  si:dkeyp-23e4.3  rho"
3,"Carbohydrate binding "," gpcpd1  p3h2  ADGRL3"
2,"Antioxidant activity "," ccs  GPX2"
2,"Structural constituent of ribosome "," mrps35  rpl4"
2,"Nuclear receptor activity "," thrb  pparaa"
2,"Lyase activity "," ca14  adcy7"
1,"Translation regulator activity "," aire"
1,"Peroxidase activity "," GPX2"
1,"Superoxide dismutase activity "," ccs"
1,"Guanyl-nucleotide exchange factor activity "," plekhg4"
1,"Cyclase activity "," adcy7"
1,"Isomerase activity "," PPIF"
1,"Oxygen binding "," cygb2"
1,"Extracellular matrix binding "," thbs1b"
1,"Molecular adaptor activity "," bnip1a"
1,"Sulfur compound binding "," thbs1b"
