"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0620959603091632,31,1189,2.04706255428863,"Anatomical structure morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0009653"," dusp4  mmp2  skia  prnpb  rab11a  plxna2  gba2  actr10  cacnb4b  mylipa  mef2d  tbx4  isl2a  PALMD  plppr4b  etfa  polr1c  gata3  slit3  elp3  kdm6ba  smyd3  meis1b  usp20  fryl  ptges  cdh4  wnk1b  wnt5b  fgf10a  rerea"
0.0620959603091632,5,44,8.92213114754098,"Cellular response to fibroblast growth factor stimulus "," http://amigo.geneontology.org/amigo/term/GO:0044344"," dusp4  gata3  fgfr3  fgf10a  rerea"
0.0620959603091632,5,44,8.92213114754098,"Response to fibroblast growth factor "," http://amigo.geneontology.org/amigo/term/GO:0071774"," dusp4  gata3  fgfr3  fgf10a  rerea"
0.0620959603091632,5,36,10.9048269581056,"Phosphatase regulator activity "," http://amigo.geneontology.org/amigo/term/GO:0019208"," ppp1r3b  sbf2  sbf1  ppp4r2b"
0.0620959603091632,3,10,23.5544262295082,"Ribosome binding "," http://amigo.geneontology.org/amigo/term/GO:0043022"," letm2  eif5a  letm1"
0.0620959603091632,5,44,8.92213114754098,"Fibroblast growth factor receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0008543"," dusp4  gata3  fgfr3  fgf10a  rerea"
0.0876723819446679,8,140,4.48655737704918,"Response to growth factor "," http://amigo.geneontology.org/amigo/term/GO:0070848"," dusp4  gata3  fgfr3  skor1b  SMAD3  smad6b  fgf10a  rerea"
0.0876723819446679,8,140,4.48655737704918,"Cellular response to growth factor stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071363"," dusp4  gata3  fgfr3  skor1b  SMAD3  smad6b  fgf10a  rerea"
0.126307328199615,9,193,3.66130977660749,"Response to endogenous stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009719"," dusp4  gata3  fgfr3  skor1b  SMAD3  smad6b  spata18  fgf10a  rerea"
0.126307328199615,20,715,2.19621689785624,"Embryo development "," http://amigo.geneontology.org/amigo/term/GO:0009790"," irx5a  dusp4  skia  prnpb  plxna2  cacnb4b  mylipa  tbx4  polr1c  cicb  gata3  elp3  meis1b  nsd2  ptges  hwa  rpl28  wnt5b  fgf10a  rerea"
0.126307328199615,2,5,39.2573770491803,"Catalase activity "," http://amigo.geneontology.org/amigo/term/GO:0004096"," loxhd1a"
0.126307328199615,3,15,15.7029508196721,"Ribonucleoprotein complex binding "," http://amigo.geneontology.org/amigo/term/GO:0043021"," letm2  eif5a  letm1"
0.128246242137807,8,165,3.80677595628415,"Regulation of catalytic activity "," http://amigo.geneontology.org/amigo/term/GO:0050790"," prnpb  sbf2  ppp6r2a  sbf1  si:dkey-191g9.5  prkag2a  bcl2a"
0.128246242137807,5,63,6.23132969034608,"Protein folding "," http://amigo.geneontology.org/amigo/term/GO:0006457"," cct2  hsp90ab1  hsp90b1  zgc:122979  tor1"
0.128246242137807,3,17,13.8555448408872,"Phosphatidate phosphatase activity "," http://amigo.geneontology.org/amigo/term/GO:0008195"," plpp5  plppr4b  plppr5b"
0.128246242137807,19,687,2.18736118455843,"Oxidoreductase activity "," http://amigo.geneontology.org/amigo/term/GO:0016491"," cyp11c1  ALDH6A1  sqlea  ch25hl1.1  ch25hl1.2  etfa  dpyda.3  kdm6ba  cyb5r4  cox4i1l  txnrd3  RFESD  NDUFV1  cyp26a1  loxhd1a  nnt  cyp2ae1"
0.134189264163426,2,5,31.4059016393443,"Regulation of protein stability "," http://amigo.geneontology.org/amigo/term/GO:0031647"," meis1b  hwa"
