"chrom","start","end","cov12","cov23","cov13","index","color","pop"
"chr1",0,100000,-0.0117028083060322,-0.0293697780491551,0.0405699357882763,1,"col1","PWS"
"chr1",16800000,16900000,-0.0449428003059949,-0.0321863508612623,0.0639520533525466,169,"col1","PWS"
"chr1",29400000,29500000,-0.737822036733889,-0.0156034339534364,0.0976728277769364,295,"col1","PWS"
"chr1",32700000,32800000,-0.0754799207867947,-0.240342498118359,0.0981912182947964,328,"col1","PWS"
"chr10",5800000,5900000,0.0368226046770743,0.012590218444015,0.0427111528652287,2915,"col2","PWS"
"chr10",12900000,13000000,-0.0153004398048691,-0.0425708726278793,0.0497077192871627,2986,"col2","PWS"
"chr10",23400000,23500000,-0.0546379076848953,-0.0495697350525309,0.0602298309570039,3091,"col2","PWS"
"chr12",29100000,29200000,-0.145793350428846,-0.134072239175861,0.0768457158846549,3750,"col2","PWS"
"chr13",7900000,8000000,-0.0611644950413695,-0.322578282628326,0.0484741178903522,3838,"col1","PWS"
"chr13",19000000,19100000,-0.043250660745992,-0.0126376110476448,0.0374895184440206,3949,"col1","PWS"
"chr13",22900000,23000000,-0.039306589695824,-0.021385186071263,0.0499400611380101,3988,"col1","PWS"
"chr14",2100000,2200000,-0.0100074104416842,-0.0785679887566503,0.0398456669965808,4078,"col2","PWS"
"chr14",10600000,10700000,-0.0207517315770725,-0.086593377231105,0.041257553429214,4163,"col2","PWS"
"chr15",27700000,27800000,-0.0408012384843577,-0.0246716453167979,0.0466579844914609,4627,"col1","PWS"
"chr16",4000000,4100000,-0.0632187034034074,-0.0775004682424731,0.0543990215542458,4677,"col2","PWS"
"chr16",22900000,23000000,-0.0182472439202947,-0.0546431783634697,0.042393202437451,4866,"col2","PWS"
"chr16",26300000,26400000,-0.0810865314370863,-0.0254125408254581,0.111380113102488,4900,"col2","PWS"
"chr16",27400000,27500000,-0.0957364052806783,-0.0334656092160838,0.0579852597697097,4911,"col2","PWS"
"chr17",6200000,6300000,-0.0444577627618929,-0.0311348537957285,0.0401277717765633,4976,"col1","PWS"
"chr19",1300000,1400000,-0.0351246634765197,-0.0308207647654739,0.0432692923013172,5474,"col1","PWS"
"chr19",3600000,3700000,-0.0427736555135142,-0.0440991596734085,0.0366859781600754,5497,"col1","PWS"
"chr2",8100000,8200000,-0.0484604290651852,-0.0141607289405964,0.0400764833702338,412,"col2","PWS"
"chr2",10100000,10200000,-0.034937236241158,-0.0225690755682374,0.0423649291475741,432,"col2","PWS"
"chr2",10500000,10600000,-0.015866688788777,-0.0589080817918348,0.042681747010311,436,"col2","PWS"
"chr20",4900000,5000000,-0.0492791167451121,-0.099196394614557,0.0633710461116811,5781,"col2","PWS"
"chr20",5600000,5700000,-0.0329006490431109,-0.0104570027065892,0.0449409354557093,5788,"col2","PWS"
"chr20",16100000,16200000,-0.021712061252403,-0.0416380077166423,0.0385755675623951,5893,"col2","PWS"
"chr20",19200000,19300000,-0.0459321343576359,-0.01145229525184,0.038656990985281,5924,"col2","PWS"
"chr21",6100000,6200000,-0.0486400243349399,-0.165737682717001,0.0591232059575265,6059,"col1","PWS"
"chr21",22300000,22400000,0.0027861304914905,-0.0463173569603638,0.0389440833182874,6221,"col1","PWS"
"chr23",10300000,10400000,-0.0326427173561345,-0.0429529280961917,0.0451350588583106,6621,"col1","PWS"
"chr23",17000000,17100000,-0.0501076735433707,-0.124842191578072,0.0459477346539302,6688,"col1","PWS"
"chr23",24500000,24600000,-0.0472114104258694,-0.0160690004731519,0.0542538740908474,6763,"col1","PWS"
"chr24",15500000,15600000,-0.0608706860014581,-0.0500781424279115,0.0463035656988246,6925,"col2","PWS"
"chr26",6000000,6100000,-0.0323961239059396,-0.0450122189646643,0.0555975241408271,7179,"col2","PWS"
"chr26",7600000,7700000,-0.0805944386084616,-0.0559967448554003,0.0364291589800579,7195,"col2","PWS"
"chr3",17700000,17800000,-0.0195149005734407,-0.0122344241650996,0.0438696309964337,838,"col1","PWS"
"chr3",31600000,31700000,-0.0108064160446923,-0.0114638962569021,0.0384756649293324,977,"col1","PWS"
"chr4",19800000,19900000,-0.0342012964705244,-0.0405592491985246,0.044109648833725,1184,"col2","PWS"
"chr4",29300000,29400000,-0.0466982372604764,-0.0914359446738966,0.0429528156722392,1279,"col2","PWS"
"chr5",10900000,11000000,-0.0340598051864488,-0.0399690006237902,0.0397458662942574,1417,"col1","PWS"
"chr5",17100000,17200000,-0.0200639456844393,-0.0282593378078469,0.0464552863843636,1479,"col1","PWS"
"chr5",17400000,17500000,-0.0863624596412232,-0.790017442045909,0.0390568279585252,1482,"col1","PWS"
"chr6",10000000,10100000,-0.13835184421206,-0.11101210744928,0.0961759422027578,1723,"col2","PWS"
"chr6",13300000,13400000,0.00753346156302346,-0.0120577495129695,0.0468078668602968,1756,"col2","PWS"
"chr7",2000000,2100000,-0.0250992114679069,-0.0178006564041178,0.0419060916737207,1957,"col1","PWS"
"chr8",9200000,9300000,-0.0312148193471438,-0.0209559731902096,0.0360408938499441,2338,"col2","PWS"
"chr8",17900000,18000000,-0.048162443028017,-0.0532430662361582,0.041571284845583,2425,"col2","PWS"
"chr8",22100000,22200000,-0.0569994214832302,-0.0227623193442503,0.0365306196410142,2467,"col2","PWS"
"chr1",7400000,7500000,-0.00529491595827472,-0.00605562773926591,0.0407550483290267,75,"col1","TB"
"chr1",21300000,21400000,-0.0376262873242758,-0.041467001644973,0.0395117388498999,214,"col1","TB"
"chr1",32300000,32400000,-0.025600225335577,-0.0457779482388206,0.0390484040632073,324,"col1","TB"
"chr1",32500000,32600000,-0.0210895687589691,-0.0108725688703135,0.0379631940085427,326,"col1","TB"
"chr10",12200000,12300000,-0.0286732848534853,-0.0489111282035183,0.0356840450030631,2979,"col2","TB"
"chr10",15200000,15300000,-0.0130100790727713,-0.0351176622195516,0.0357409183815478,3009,"col2","TB"
"chr10",15300000,15400000,-0.109648344375525,-0.0767819309534797,0.0761217240690279,3010,"col2","TB"
"chr10",20400000,20500000,0.0191836707507002,0.0174564210331766,0.0390186354278746,3061,"col2","TB"
"chr10",21100000,21200000,-0.0319248578942255,-0.161864743448341,0.0585968022693327,3068,"col2","TB"
