"chrom","start","end","cov23","index","color","pop"
"chr1",4000000,4100000,0.03955582722706,41,"col1","PWS"
"chr10",21800000,21900000,0.0360125335348495,3075,"col2","PWS"
"chr11",100000,200000,0.0352380949055538,3160,"col1","PWS"
"chr11",700000,800000,0.0512432697305864,3166,"col1","PWS"
"chr11",7600000,7700000,0.0561274262156894,3235,"col1","PWS"
"chr12",14600000,14700000,0.0386124837367907,3605,"col2","PWS"
"chr12",24500000,24600000,0.0408201165937984,3704,"col2","PWS"
"chr12",27500000,27600000,0.0452038230545885,3734,"col2","PWS"
"chr12",27800000,27900000,0.0597462431443185,3737,"col2","PWS"
"chr12",28500000,28600000,0.121829811634799,3744,"col2","PWS"
"chr13",20800000,20900000,0.0348869926319197,3967,"col1","PWS"
"chr13",23100000,23200000,0.0349394617058889,3990,"col1","PWS"
"chr13",29100000,29200000,0.0374016778476075,4050,"col1","PWS"
"chr13",29200000,29300000,0.074673904046588,4051,"col1","PWS"
"chr14",600000,700000,0.0345175594544466,4063,"col2","PWS"
"chr14",3300000,3400000,0.0709589917102908,4090,"col2","PWS"
"chr14",3600000,3700000,0.0365936040268278,4093,"col2","PWS"
"chr14",19100000,19200000,0.0354982524741516,4248,"col2","PWS"
"chr14",22800000,22900000,0.0388551319999636,4285,"col2","PWS"
"chr15",1700000,1800000,0.0464929643680368,4367,"col1","PWS"
"chr15",22500000,22600000,0.046278045474006,4575,"col1","PWS"
"chr15",26500000,26600000,0.0378347378211078,4615,"col1","PWS"
"chr15",27300000,27400000,0.0425662846996335,4623,"col1","PWS"
"chr15",27600000,27700000,0.0360417664524903,4626,"col1","PWS"
"chr15",28400000,28500000,0.0507191064334313,4634,"col1","PWS"
"chr16",4800000,4900000,0.0383907593477825,4685,"col2","PWS"
"chr16",6400000,6500000,0.0497197449865989,4701,"col2","PWS"
"chr16",11200000,11300000,0.0389386689262076,4749,"col2","PWS"
"chr16",24300000,24400000,0.0421606350839125,4880,"col2","PWS"
"chr16",25600000,25700000,0.0354779899401796,4893,"col2","PWS"
"chr16",26800000,26900000,0.0396497695007027,4905,"col2","PWS"
"chr17",27400000,27500000,0.2022322156492,5188,"col1","PWS"
"chr18",2800000,2900000,0.0441916321462696,5217,"col2","PWS"
"chr18",5000000,5100000,0.0363703720979151,5239,"col2","PWS"
"chr18",5700000,5800000,0.041110376187061,5246,"col2","PWS"
"chr18",18400000,18500000,0.0346616969438783,5373,"col2","PWS"
"chr19",0,100000,0.0357425738537394,5461,"col1","PWS"
"chr19",1100000,1200000,0.0482553703430879,5472,"col1","PWS"
"chr19",2000000,2100000,0.0425666868279863,5481,"col1","PWS"
"chr19",3700000,3800000,0.0380899399016761,5498,"col1","PWS"
"chr19",3900000,4000000,0.0347166090105295,5500,"col1","PWS"
"chr19",4000000,4100000,0.036164810034057,5501,"col1","PWS"
"chr2",12100000,12200000,0.06817236508616,452,"col2","PWS"
