# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ASCL4	ENSCHAG00000026305	ENSCHAT00000062925	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ATP6V0E1	ENSCHAG00000001105	ENSCHAT00000001748	protein_coding	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	8
CPEB4	ENSCHAG00000001432	ENSCHAT00000004052	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CPEB4	ENSCHAG00000001432	ENSCHAT00000004162	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CPEB4	ENSCHAG00000001432	ENSCHAT00000004342	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CPEB4	ENSCHAG00000001432	ENSCHAT00000004368	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CPEB4	ENSCHAG00000001432	ENSCHAT00000004635	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CPEB4	ENSCHAG00000001432	ENSCHAT00000004772	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CPEB4	ENSCHAG00000001432	ENSCHAT00000004893	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSCHAG00000000002	ENSCHAG00000000002	ENSCHAT00000000004	protein_coding	0	0	0	7	4	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000000002	ENSCHAG00000000002	ENSCHAT00000000005	protein_coding	0	0	0	7	4	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000000002	ENSCHAG00000000002	ENSCHAT00000000006	protein_coding	0	0	0	7	4	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000000002	ENSCHAG00000000002	ENSCHAT00000000007	protein_coding	0	0	0	7	4	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000000002	ENSCHAG00000000002	ENSCHAT00000000008	protein_coding	0	0	0	7	4	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000000002	ENSCHAG00000000002	ENSCHAT00000000009	protein_coding	0	0	0	7	4	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000000002	ENSCHAG00000000002	ENSCHAT00000000010	protein_coding	0	0	0	7	4	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000000002	ENSCHAG00000000002	ENSCHAT00000000011	protein_coding	0	0	0	7	4	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000000003	ENSCHAG00000000003	ENSCHAT00000000012	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ENSCHAG00000000004	ENSCHAG00000000004	ENSCHAT00000000013	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000000004	ENSCHAG00000000004	ENSCHAT00000000014	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000000004	ENSCHAG00000000004	ENSCHAT00000000015	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000000004	ENSCHAG00000000004	ENSCHAT00000000016	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000000004	ENSCHAG00000000004	ENSCHAT00000000017	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000000004	ENSCHAG00000000004	ENSCHAT00000000018	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000000004	ENSCHAG00000000004	ENSCHAT00000000019	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSCHAG00000000006	ENSCHAG00000000006	ENSCHAT00000000021		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000000007	ENSCHAG00000000007	ENSCHAT00000000022	protein_coding	0	0	0	49	0	0	0	49	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000000009	ENSCHAG00000000009	ENSCHAT00000000025	protein_coding	0	1	1	22	1	0	0	1	20	1	0	0	0	1	0	0	0	1
ENSCHAG00000000247	ENSCHAG00000000247	ENSCHAT00000000424	scaRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001020	ENSCHAG00000001020	ENSCHAT00000001612	snoRNA	0	0	0	10	0	0	0	9	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001024	ENSCHAG00000001024	ENSCHAT00000001621	snoRNA	0	0	0	10	0	0	0	9	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001028	ENSCHAG00000001028	ENSCHAT00000001628	snoRNA	0	0	0	10	0	0	0	9	0	0	0	0	0	0	0	0	0	1
