"N","High level GO category","Genes"
76,"Organic cyclic compound binding "," ebf2  sptlc1  trap1  si:dkey-81j8.6  ak5l  ttll12  rbm24b  meis2a  kif13a  edf1  alyref  rel  recql5  papolg  npr1a  ascl1a  UNCX  syn1  EIF5  arf6a  tbx5a  lmx1bb  ddx54  acbd3  mixl1  parp1  atp1a2a  eif3f  znf318  rab14l  ssbp1  abl1  creb3l2  exosc2  fubp3  MAF  ASS1  si:ch211-165i18.2  hacl1  pkn3  creb5b  trmt1  hoxa13b  hoxa11b  gata3  taf3  dnah2  rbm42  dyrk1b  myo6a  fli1b  etv2  nt5e  psmc4  irf8  abcc9  vsx2  RHOV  ythdf1  uckl1a  atp2b3a  DIRAS2  syk  ror2  NR2F1  rrad  tk2  larp4b  myo5b  foxd5  wnk1b  PC  epha4a  samd11  rerea  gpr157"
76,"Heterocyclic compound binding "," ebf2  sptlc1  trap1  si:dkey-81j8.6  ak5l  ttll12  rbm24b  meis2a  kif13a  edf1  alyref  rel  recql5  papolg  npr1a  ascl1a  UNCX  syn1  EIF5  arf6a  tbx5a  lmx1bb  ddx54  acbd3  mixl1  parp1  atp1a2a  eif3f  znf318  rab14l  ssbp1  abl1  creb3l2  exosc2  fubp3  MAF  ASS1  si:ch211-165i18.2  hacl1  pkn3  creb5b  trmt1  hoxa13b  hoxa11b  gata3  taf3  dnah2  rbm42  dyrk1b  myo6a  fli1b  etv2  nt5e  psmc4  irf8  abcc9  vsx2  RHOV  ythdf1  uckl1a  atp2b3a  DIRAS2  syk  ror2  NR2F1  rrad  tk2  larp4b  myo5b  foxd5  wnk1b  PC  epha4a  samd11  rerea  gpr157"
74,"Catalytic activity "," sptlc1  hint1  si:dkey-81j8.6  ak5l  plcb3  qsox2  aldh18a1  recql5  papolg  npr1a  pah  pdia8  fkbp3  entpd5b  galt  th2  ddx54  acat2  parp1  eif3f  pip4p1a  dnph1  si:dkey-206f10.1  rab14l  abl1  man2b1  ASS1  si:ch211-165i18.2  pcyox1  hacl1  uap1l1  zdhhc12b  pkn3  cpvl  sult3st4  mfng  trmt1  smpd5  atp5f1c  DPYSL2  man1a1  kdm6ba  ppox  dyrk1b  SENP6  nt5e  psmc4  tfb2m  pomt2  cox4i1  dusp22a  abcc9  CHAC1  RHOV  AOPEP  uckl1a  DIRAS2  syk  auh  pld1b  ror2  dnase1l1l  rrad  ca7  nae1  tk2  PTGES2  pgm5  ndufaf2  wnk1b  PC  epha4a  eno1a  ca6"
64,"Ion binding "," sptlc1  scube3  trap1  si:dkey-81j8.6  ak5l  ttll12  plcb3  kif13a  recql5  npr1a  pah  ZFYVE21  syn1  zfyve28  arf6a  galt  th2  ddx54  parp1  dlk2  znf318  rab14l  abl1  ASS1  si:ch211-165i18.2  hacl1  pkn3  trmt1  fat3a  gata3  dnah2  slit3  man1a1  kdm6ba  dyrk1b  myo6a  nt5e  psmc4  snx14  abcc9  DLL4  RHOV  ZFYVE1  AOPEP  uckl1a  sptan1  atp2b3a  DIRAS2  syk  ror2  NR2F1  rrad  cdh16  ca7  tk2  capslb  myo5b  wnk1b  PC  epha4a  rerea  eno1a  ca6  gpr157"
38,"Small molecule binding "," sptlc1  trap1  si:dkey-81j8.6  ak5l  ttll12  kif13a  recql5  npr1a  syn1  arf6a  ddx54  acbd3  parp1  atp1a2a  rab14l  abl1  ASS1  hacl1  pkn3  dnah2  dyrk1b  myo6a  nt5e  psmc4  abcc9  RHOV  uckl1a  atp2b3a  DIRAS2  syk  ror2  rrad  tk2  myo5b  wnk1b  PC  epha4a  gpr157"
33,"Carbohydrate derivative binding "," trap1  si:dkey-81j8.6  ak5l  ttll12  kif13a  recql5  npr1a  syn1  arf6a  ddx54  acbd3  rab14l  abl1  ASS1  pkn3  dnah2  dyrk1b  myo6a  psmc4  abcc9  RHOV  uckl1a  atp2b3a  DIRAS2  syk  ror2  rrad  tk2  myo5b  wnk1b  PC  epha4a  gpr157"
24,"Transferase activity "," si:dkey-81j8.6  ak5l  aldh18a1  papolg  npr1a  galt  acat2  parp1  abl1  uap1l1  zdhhc12b  pkn3  sult3st4  mfng  trmt1  dyrk1b  tfb2m  pomt2  uckl1a  syk  ror2  tk2  wnk1b  epha4a"
23,"Hydrolase activity "," plcb3  entpd5b  eif3f  pip4p1a  dnph1  rab14l  man2b1  si:ch211-165i18.2  cpvl  smpd5  DPYSL2  man1a1  SENP6  nt5e  psmc4  dusp22a  abcc9  RHOV  AOPEP  DIRAS2  pld1b  dnase1l1l  rrad"
20,"DNA-binding transcription factor activity "," ebf2  rel  ascl1a  UNCX  tbx5a  lmx1bb  mixl1  creb3l2  MAF  creb5b  hoxa13b  hoxa11b  gata3  fli1b  etv2  irf8  vsx2  nfil3  NR2F1  foxd5"
16,"Molecular function regulator "," prkar1b  arhgdia  PGF  ralgps1  igf1  pomcb  chn2  arhgef37  itih2  arhgap33  si:ch211-225p5.8  scn1ba  itih5  dock8  rrad  ccl34a.3"
14,"Transporter activity "," kcnd3  slc46a2  slc13a4  atp5f1c  zgc:162160  scn1ba  sv2  cox4i1  abcc9  kcnj8  slc17a9a  atp2b3a  ndufaf2  slc2a5"
14,"Molecular transducer activity "," robo1  HTR1B  plxnb2a  abcc9  or101-1  OR10S1  ghsrb  il7r  vipr2  epha4a  gpr157"
