"N","High level GO category","Genes"
51,"Membrane "," kcnd3  SUN1  prnpb  pex13  npr1a  PGF  mvb12bb  atp1a2a  si:dkey-206f10.1  coa6  slc13a4  surf4  mfng  fat3a  nlgn4xa  atp5f1c  man1a1  nlgn2a  upk1a  zgc:162160  si:ch211-225p5.8  HTR1B  scn1ba  sv2  pomt2  emc8  abcc9  bnip3la  kcnj8  DLL4  or101-1  si:dkey-70p6.1  OR10S1  atp2b3a  DIRAS2  prph2a  rrad  cdh16  cmtm4  CKLF  ghsrb  il7r  zgc:113278  vipr2  ndufaf2  epha4a  slc2a5  gpr157"
46,"Intracellular anatomical structure "," SUN1  aldh18a1  arhgdia  pex13  rel  papolg  akap12b  faua  syn1  tcf7l2  exoc3l4  sync  tbx5a  mvb12bb  ddx54  mixl1  parp1  eif3f  nup37  coa6  rab14l  exosc2  gata3  smpd5  dnah2  atp5f1c  arhgef37  DPYSL2  kdm6ba  myo6a  psmc4  tfb2m  gins2  emc8  bnip3la  lin52  fancc  setb  AOPEP  syk  nfil3  dync1li2  ghsrb  myo5b  ppp1r14bb  eno1a"
31,"Organelle "," SUN1  pex13  papolg  faua  syn1  tcf7l2  sync  tbx5a  mvb12bb  ddx54  mixl1  parp1  nup37  coa6  rab14l  gata3  smpd5  dnah2  kdm6ba  myo6a  tfb2m  gins2  emc8  bnip3la  lin52  fancc  setb  AOPEP  nfil3  dync1li2  myo5b"
31,"Intrinsic component of membrane "," kcnd3  SUN1  pex13  npr1a  atp1a2a  surf4  nlgn2a  upk1a  zgc:162160  si:ch211-225p5.8  HTR1B  scn1ba  sv2  emc8  abcc9  bnip3la  kcnj8  DLL4  or101-1  OR10S1  atp2b3a  prph2a  ghsrb  zgc:113278  vipr2  epha4a  slc2a5  gpr157"
31,"Intracellular organelle "," SUN1  pex13  papolg  faua  syn1  tcf7l2  sync  tbx5a  mvb12bb  ddx54  mixl1  parp1  nup37  coa6  rab14l  gata3  smpd5  dnah2  kdm6ba  myo6a  tfb2m  gins2  emc8  bnip3la  lin52  fancc  setb  AOPEP  nfil3  dync1li2  myo5b"
24,"Membrane-bounded organelle "," SUN1  pex13  papolg  syn1  tcf7l2  tbx5a  mvb12bb  ddx54  parp1  nup37  coa6  rab14l  gata3  smpd5  kdm6ba  tfb2m  gins2  emc8  bnip3la  lin52  fancc  setb  AOPEP  nfil3"
23,"Protein-containing complex "," kcnd3  SUN1  prkar1b  exoc3l4  mvb12bb  lin9  eif3f  nup37  coa6  exosc2  dnah2  atp5f1c  myo6a  si:ch211-225p5.8  scn1ba  emc8  lin52  fancc  dync1li2  zer1  myo5b  eno1a"
13,"Cell periphery "," kcnd3  prnpb  exoc3l4  si:dkey-206f10.1  fat3a  nlgn2a  si:ch211-225p5.8  HTR1B  scn1ba  si:dkey-70p6.1  cdh16  ghsrb  epha4a"
12,"Plasma membrane "," kcnd3  prnpb  si:dkey-206f10.1  fat3a  nlgn2a  si:ch211-225p5.8  HTR1B  scn1ba  si:dkey-70p6.1  cdh16  ghsrb  epha4a"
9,"Non-membrane-bounded organelle "," faua  sync  tbx5a  mixl1  dnah2  myo6a  AOPEP  dync1li2  myo5b"
8,"Membrane protein complex "," kcnd3  SUN1  mvb12bb  coa6  atp5f1c  si:ch211-225p5.8  scn1ba  emc8"
6,"Extracellular region "," edn1  igf1  pomcb  smpd5  wnt5b  ccl34a.3"
6,"Endomembrane system "," SUN1  syn1  mvb12bb  nup37  rab14l  emc8"
4,"Envelope "," SUN1  nup37  smpd5  bnip3la"
3,"Cell junction "," syn1  tjap1  nlgn2a"
3,"Organelle membrane "," SUN1  mvb12bb  emc8"
2,"Membrane-enclosed lumen "," smpd5  AOPEP"
2,"Synapse "," syn1  nlgn2a"
2,"Cell surface "," prnpb  ca6"
2,"Intrinsic component of organelle membrane "," SUN1  emc8"
2,"Organelle lumen "," smpd5  AOPEP"
1,"Supramolecular fiber "," sync"
1,"Chromatin "," mixl1"
1,"Extracellular space "," igf1"
1,"Endoplasmic reticulum membrane "," emc8"
1,"Cell-cell junction "," tjap1"
1,"Synaptic vesicle "," syn1"
1,"Nuclear outer membrane-endoplasmic reticulum membrane network "," emc8"
1,"Cell projection "," sptan1"
1,"Inhibitory synapse "," nlgn2a"
1,"Anchoring junction "," tjap1"
1,"Respirasome "," coa6"
1,"Presynapse "," syn1"
1,"Polymeric cytoskeletal fiber "," sync"
