"N","High level GO category","Genes"
100,"Biological regulation "," ebf2  cdc42se2  ank1a  prkar1b  scube3  rassf2b  prnpb  tfec  CDIN1  meis2a  plcb3  edn1  arhgdia  rel  recql5  npr1a  ascl1a  mad1l1  UNCX  akap12b  vgll4l  syn1  coa8  tcf7l2  gapvd1  cipcb  tbx5a  lmx1bb  ralgps1  lin9  angptl2b  atp1a2a  ncoa4  dlk2  si:dkey-206f10.1  parpbp  pomcb  creb3l2  fubp3  MAF  robo2  robo1  pkn3  chn2  creb5b  jazf1b  hoxa13b  hoxa11b  gata3  taf3  DPYSL2  slit3  tmem198b  tmem88b  arhgap33  nlgn2a  fli1b  etv2  pycard  HTR1B  plxnb2a  tfb2m  irf8  abcc9  bnip3la  vsx2  DLL4  RHOV  or101-1  gid8a  si:dkey-70p6.1  dock8  OR10S1  emilin3a  dedd  DIRAS2  syk  pld1b  nfil3  ror2  prkcbp1l  NR2F1  fam172a  slf1  rrad  dync1li2  ghsrb  myo5b  zmynd11  vipr2  foxd5  wnt5b  epha4a  ppp1r14bb  rerea  gpr157  spsb1"
95,"Regulation of biological process "," ebf2  cdc42se2  ank1a  prkar1b  scube3  rassf2b  prnpb  tfec  meis2a  plcb3  edn1  arhgdia  rel  recql5  npr1a  ascl1a  mad1l1  UNCX  akap12b  vgll4l  coa8  tcf7l2  gapvd1  cipcb  tbx5a  lmx1bb  ralgps1  lin9  angptl2b  dlk2  si:dkey-206f10.1  parpbp  pomcb  creb3l2  fubp3  MAF  robo2  robo1  pkn3  chn2  creb5b  jazf1b  hoxa13b  hoxa11b  gata3  taf3  DPYSL2  slit3  tmem198b  tmem88b  arhgap33  nlgn2a  fli1b  etv2  pycard  HTR1B  plxnb2a  tfb2m  irf8  abcc9  bnip3la  vsx2  DLL4  RHOV  or101-1  gid8a  si:dkey-70p6.1  dock8  OR10S1  emilin3a  dedd  DIRAS2  syk  pld1b  nfil3  ror2  prkcbp1l  NR2F1  fam172a  slf1  rrad  dync1li2  ghsrb  zmynd11  vipr2  foxd5  wnt5b  epha4a  ppp1r14bb  rerea  gpr157  spsb1"
92,"Regulation of cellular process "," ebf2  cdc42se2  ank1a  prkar1b  scube3  rassf2b  prnpb  tfec  meis2a  plcb3  arhgdia  rel  recql5  npr1a  ascl1a  mad1l1  UNCX  akap12b  vgll4l  coa8  tcf7l2  gapvd1  cipcb  tbx5a  lmx1bb  ralgps1  lin9  angptl2b  dlk2  si:dkey-206f10.1  parpbp  pomcb  creb3l2  fubp3  MAF  robo2  robo1  pkn3  chn2  creb5b  jazf1b  hoxa13b  hoxa11b  gata3  DPYSL2  slit3  tmem198b  tmem88b  arhgap33  nlgn2a  fli1b  etv2  pycard  HTR1B  plxnb2a  tfb2m  irf8  bnip3la  vsx2  DLL4  RHOV  or101-1  gid8a  si:dkey-70p6.1  dock8  OR10S1  emilin3a  dedd  DIRAS2  syk  pld1b  nfil3  ror2  prkcbp1l  NR2F1  fam172a  slf1  rrad  dync1li2  ghsrb  zmynd11  vipr2  foxd5  wnt5b  epha4a  ppp1r14bb  rerea  gpr157  spsb1"
87,"Cellular metabolic process "," ebf2  prkar1b  prnpb  trap1  si:dkey-81j8.6  tfec  ak5l  ttll12  rbm24b  meis2a  aldh18a1  rel  recql5  papolg  npr1a  ascl1a  pah  UNCX  faua  prpf39  vgll4l  EIF5  cipcb  th2  tbx5a  lmx1bb  lin9  parp1  eif3f  pip4p1a  dnph1  si:dkey-206f10.1  parpbp  ssbp1  abl1  creb3l2  fubp3  MAF  ASS1  pcyox1  pkn3  creb5b  trmt1  jazf1b  hoxa13b  hoxa11b  gata3  smpd5  atp5f1c  kdm6ba  ppox  dyrk1b  fli1b  etv2  mei4  nt5e  snx14  tfb2m  pomt2  gins2  dusp22a  irf8  lin52  vsx2  fancc  CHAC1  uckl1a  syk  pld1b  nfil3  ror2  dnase1l1l  prkcbp1l  NR2F1  fam172a  slf1  nae1  tk2  zmynd11  foxd5  wnk1b  PC  epha4a  ppp1r14bb  rerea  eno1a  ca6"
84,"Nitrogen compound metabolic process "," ebf2  prkar1b  prnpb  trap1  si:dkey-81j8.6  tfec  ak5l  ttll12  rbm24b  meis2a  aldh18a1  rel  recql5  papolg  npr1a  ascl1a  pah  UNCX  faua  prpf39  vgll4l  EIF5  cipcb  th2  tbx5a  lmx1bb  lin9  parp1  eif3f  dnph1  si:dkey-206f10.1  parpbp  abl1  creb3l2  fubp3  MAF  ASS1  pcyox1  pkn3  cpvl  creb5b  trmt1  jazf1b  hoxa13b  hoxa11b  gata3  smpd5  atp5f1c  itih2  kdm6ba  ppox  dyrk1b  SENP6  fli1b  etv2  mei4  nt5e  psmc4  itih5  tfb2m  pomt2  dusp22a  irf8  lin52  vsx2  fancc  CHAC1  uckl1a  syk  nfil3  ror2  dnase1l1l  prkcbp1l  NR2F1  fam172a  slf1  nae1  tk2  zmynd11  foxd5  wnk1b  epha4a  rerea  eno1a"
65,"Response to stimulus "," cdc42se2  ank1a  scube3  rassf2b  plcb3  arhgdia  rel  npr1a  ascl1a  mad1l1  pah  akap12b  coa8  tcf7l2  gapvd1  ralgps1  angptl2b  atp1a2a  dlk2  si:dkey-206f10.1  parpbp  rab14l  creb3l2  robo2  robo1  pkn3  chn2  gata3  DPYSL2  tmem198b  tmem88b  arhgap33  pycard  HTR1B  nt5e  plxnb2a  cox4i1  DLL4  fancc  RHOV  or101-1  gid8a  si:dkey-70p6.1  dock8  OR10S1  emilin3a  DIRAS2  syk  pld1b  nfil3  ror2  slf1  rrad  ghsrb  zmynd11  vipr2  wnt5b  epha4a  ccl34a.3  rerea  gpr157  spsb1"
64,"Multicellular organismal process "," scube3  prnpb  rbm24b  CDIN1  meis2a  plcb3  edn1  rel  npr1a  ascl1a  akap12b  vgll4l  tcf7l2  arf6a  actr10  tbx5a  lmx1bb  mixl1  angptl2b  atp1a2a  ncoa4  dlk2  mea1  bcl11aa  nup37  igf1  pomcb  coa6  robo2  robo1  fat3a  hoxa13b  gata3  taf3  DPYSL2  slit3  kdm6ba  dyrk1b  myo6a  fli1b  impg1a  etv2  HTR1B  snx14  smyd3  irf8  abcc9  DLL4  ppdpfa  setb  gid8a  sptan1  emilin3a  syk  ror2  dnase1l1l  prph2a  dync1li2  znhit3  myo5b  foxd5  wnk1b  wnt5b  rerea"
62,"Developmental process "," scube3  prnpb  rbm24b  CDIN1  meis2a  plcb3  rel  npr1a  ascl1a  akap12b  vgll4l  tcf7l2  arf6a  actr10  tbx5a  lmx1bb  mixl1  angptl2b  atp1a2a  eif3f  ncoa4  dlk2  mea1  bcl11aa  nup37  igf1  pomcb  coa6  robo2  robo1  fat3a  hoxa13b  gata3  taf3  DPYSL2  slit3  kdm6ba  dyrk1b  myo6a  fli1b  etv2  snx14  smyd3  irf8  DLL4  ppdpfa  setb  gid8a  sptan1  emilin3a  syk  ror2  dnase1l1l  tbcc  dync1li2  znhit3  myo5b  foxd5  pgm5  wnk1b  wnt5b  rerea"
61,"Anatomical structure development "," scube3  prnpb  rbm24b  CDIN1  meis2a  plcb3  rel  npr1a  ascl1a  akap12b  vgll4l  tcf7l2  arf6a  actr10  tbx5a  lmx1bb  mixl1  angptl2b  atp1a2a  eif3f  ncoa4  dlk2  bcl11aa  nup37  igf1  pomcb  coa6  robo2  robo1  fat3a  hoxa13b  gata3  taf3  DPYSL2  slit3  kdm6ba  dyrk1b  myo6a  fli1b  etv2  snx14  smyd3  irf8  DLL4  ppdpfa  setb  gid8a  sptan1  emilin3a  syk  ror2  dnase1l1l  tbcc  dync1li2  znhit3  myo5b  foxd5  pgm5  wnk1b  wnt5b  rerea"
56,"Cellular response to stimulus "," cdc42se2  ank1a  scube3  rassf2b  plcb3  arhgdia  rel  npr1a  ascl1a  mad1l1  pah  akap12b  coa8  tcf7l2  gapvd1  ralgps1  angptl2b  dlk2  si:dkey-206f10.1  parpbp  creb3l2  robo1  pkn3  chn2  gata3  tmem198b  tmem88b  arhgap33  HTR1B  plxnb2a  DLL4  fancc  RHOV  or101-1  gid8a  si:dkey-70p6.1  dock8  OR10S1  emilin3a  DIRAS2  syk  pld1b  ror2  slf1  rrad  ghsrb  zmynd11  vipr2  wnt5b  epha4a  rerea  gpr157  spsb1"
