"N","High level GO category","Genes"
60,"Catalytic activity "," zdhhc15b    hadhab  pdgfra  cox10  hs3st3b1b  zranb3  rps6ka5  top2b  kita  galt  idh3a  eif3f  AGBL4  pip4p1a  plppr4b  plppr5b  snx7  dpyda.3  megf8  aldob  rmnd5b  oxsm  rps6kal  etfdh  psd3l  ppid  pde6a  ddx4  ep300b  xpnpep3  BRSK2  ldha  pde10a  hrasa  tfb2m  pomt2  abcc9  mertka  spg7  b4galnt3b  ighmbp2  si:dkey-30c15.17  galns  aprt  plppr2b  abcb7  hs6st1a  uggt1  nell2b  pus7l  mgat5  pmpcb  wnk1b  adamts9  epha4a  acyp2  sult6b1  cyp17a1"
53,"Ion binding "," si:dkey-22o22.2  zdhhc15b  hivep1  pdgfra  atrx  pef1  zranb3    rps6ka5  top2b  pls3  kita  galt  cdh13  cib2  idh3a  pcdh1b  AGBL4  DNAJA4  megf8  si:ch211-274f20.2  rps6kal  lrp1ba  OTUD7A  ddx4  slit3  ep300b  xpnpep3  BRSK2  hrasa  myh10  abcc9  DST  supt4h1  mertka  zc3h6  fbln7  spg7  ighmbp2  NR2F1  cdh15  myh9a  abcb7  nell2b  prickle1b  pmpcb  wnk1b  adamts9  epha4a  prickle2b  cyp17a1"
48,"Organic cyclic compound binding "," ebf2  irx5a    hivep1  pdgfra  atrx  myrf  zranb3  rps6ka5  r3hdm1  top2b  kita  clocka  idh3a  elavl4  atp1a2a  eif3f  AGBL4  shox2  DNAJA4  megf8  hdx  rps6kal  POU3F4  tra2a  igf2bp3  OTUD7A  ddx4  RBFOX3  BRSK2  hrasa  myh10  abcc9  vsx2  mertka  spg7  ighmbp2  NR2F1  myh9a  abcb7  sox6  pus7l  wnk1b  epha4a  cyp17a1"
48,"Heterocyclic compound binding "," ebf2  irx5a    hivep1  pdgfra  atrx  myrf  zranb3  rps6ka5  r3hdm1  top2b  kita  clocka  idh3a  elavl4  atp1a2a  eif3f  AGBL4  shox2  DNAJA4  megf8  hdx  rps6kal  POU3F4  tra2a  igf2bp3  OTUD7A  ddx4  RBFOX3  BRSK2  hrasa  myh10  abcc9  vsx2  mertka  spg7  ighmbp2  NR2F1  myh9a  abcb7  sox6  pus7l  wnk1b  epha4a  cyp17a1"
27,"Small molecule binding "," pdgfra  atrx  zranb3    rps6ka5  top2b  kita  idh3a  atp1a2a  DNAJA4  megf8  rps6kal  ddx4  BRSK2  hrasa  myh10  abcc9  mertka  spg7  ighmbp2  myh9a  abcb7  wnk1b  rhol  epha4a"
25,"Carbohydrate derivative binding "," chid1  pdgfra  atrx  zranb3    rps6ka5  top2b  kita  DNAJA4  megf8  rps6kal  ddx4  BRSK2  hrasa  myh10  abcc9  mertka  spg7  ighmbp2  myh9a  abcb7  wnk1b  epha4a"
24,"Transferase activity "," zdhhc15b  pdgfra  cox10  hs3st3b1b  rps6ka5  kita  galt  rmnd5b  oxsm  rps6kal  psd3l  ep300b  BRSK2  tfb2m  pomt2  mertka  b4galnt3b  aprt  hs6st1a  uggt1  mgat5  wnk1b  epha4a  sult6b1"
23,"Hydrolase activity "," zranb3    eif3f  AGBL4  pip4p1a  plppr4b  plppr5b  snx7  megf8  pde6a  xpnpep3  pde10a  hrasa  abcc9  spg7  si:dkey-30c15.17  galns  plppr2b  abcb7  nell2b  pmpcb  adamts9  acyp2"
14,"Transporter activity ","   slc39a6  cnga2a  magt1  trpm1b  slc26a2  sv2  mfsd2aa  abcc9  kcnj8  piezo1  slc25a38b  abcb7  slc2a15a"
14,"Transmembrane transporter activity ","   slc39a6  cnga2a  magt1  trpm1b  slc26a2  sv2  mfsd2aa  abcc9  kcnj8  piezo1  slc25a38b  abcb7  slc2a15a"
12,"DNA-binding transcription factor activity "," ebf2  irx5a  mycla    myrf  clocka  shox2  POU3F4  tbxtb  vsx2  NR2F1"
9,"Molecular function regulator "," fgf16  ccnt2b  sbf2  sema6e  C3  arhgef37  PIK3R6  fgf8a"
8,"Molecular transducer activity "," pdgfra  kita  htr4  il6st  abcc9  lhcgr  rhol  epha4a"
8,"Signaling receptor activity "," pdgfra  kita  htr4  il6st  abcc9  lhcgr  rhol  epha4a"
7,"Oxidoreductase activity ","   hadhab  idh3a  dpyda.3  etfdh  ldha  cyp17a1"
6,"Enzyme regulator activity "," ccnt2b  sbf2  C3  arhgef37  PIK3R6"
5,"Lipid binding "," snx7  c2cd5  syt1b  sptbn1  rhol"
4,"Structural molecule activity "," nup62l  rps27l  rpsa  sptbn1"
3,"Lyase activity "," hadhab  aldob  cyp17a1"
3,"Isomerase activity "," top2b  ppid  pus7l"
3,"Signaling receptor regulator activity "," fgf16  sema6e  fgf8a"
3,"Protein-containing complex binding "," pls3  myh10  myh9a"
3,"Receptor ligand activity "," fgf16  sema6e  fgf8a"
3,"Molecular adaptor activity "," magi2a  rapsn  magi1b"
2,"Electron transfer activity ","   etfdh"
2,"Structural constituent of ribosome "," rps27l  rpsa"
1,"Translation regulator activity "," eif3f"
1,"Cytochrome-c oxidase activity "," "
1,"Guanyl-nucleotide exchange factor activity "," arhgef37"
1,"Structural constituent of cytoskeleton "," sptbn1"
1,"Structural constituent of nuclear pore "," nup62l"
1,"Metal cluster binding "," dpyda.3"
1,"Translation regulator activity, nucleic acid binding "," eif3f"
