"N","High level GO category","Genes"
48,"Membrane "," si:dkey-22o22.2  zdhhc15b    cd151  cox10  b3gnt2b  cx39.4  slc39a6  cnga2a  cdh13  jagn1a  pcdh1b  atp1a2a  magt1  PALMD  plppr4b  sybl1  trpm1b  psd3l  lman2  htr4  slc26a2  il6st  hrasa  PIK3R6  sv2  pomt2  mfsd2aa  abcc9  kcnj8  sft2d1  lhcgr  itga9  spg7  b4galnt3b  cd9a  syt1b  prph2a  cdh15  piezo1  slc25a38b  abcb7  hs6st1a  rhol  adipor2  epha4a  slc2a15a"
41,"Intracellular anatomical structure "," irx5a  zdhhc15b  map7d1b    hadhab  gtf2h5  akap12b  nup62l  jagn1a  clocka  eif3f  atg5  magt1  dpyda.3  rps27l  si:ch211-274f20.2  ngly1  POU3F4  arhgef37  ep300b  ldha  myh10  tfb2m  DST  lin52  tbxtb  supt4h1  tnni1c  b4galnt3b  syt1b  aprt  myh9a  slc25a38b  rpsa  sptbn1  pmpcb  pcgf6  inaa  fgf8a"
33,"Organelle "," irx5a  zdhhc15b  map7d1b    hadhab  gtf2h5  nup62l  jagn1a  clocka  magt1  rps27l  si:ch211-274f20.2  POU3F4  ep300b  myh10  tfb2m  DST  lin52  tbxtb  supt4h1  tnni1c  b4galnt3b  syt1b  myh9a  slc25a38b  rpsa  sptbn1  pmpcb  pcgf6  inaa  fgf8a"
33,"Intracellular organelle "," irx5a  zdhhc15b  map7d1b    hadhab  gtf2h5  nup62l  jagn1a  clocka  magt1  rps27l  si:ch211-274f20.2  POU3F4  ep300b  myh10  tfb2m  DST  lin52  tbxtb  supt4h1  tnni1c  b4galnt3b  syt1b  myh9a  slc25a38b  rpsa  sptbn1  pmpcb  pcgf6  inaa  fgf8a"
28,"Intrinsic component of membrane "," zdhhc15b  cd151  cox10  cnga2a  atp1a2a  plppr4b  sybl1  trpm1b    htr4  slc26a2  sv2  mfsd2aa  abcc9  kcnj8  sft2d1  lhcgr  itga9  spg7  cd9a  prph2a  piezo1  abcb7  hs6st1a  rhol  adipor2  epha4a  slc2a15a"
23,"Membrane-bounded organelle "," irx5a  zdhhc15b    hadhab  gtf2h5  nup62l  jagn1a  clocka  magt1  si:ch211-274f20.2  POU3F4  ep300b  tfb2m  lin52  tbxtb  supt4h1  b4galnt3b  syt1b  slc25a38b  pmpcb  pcgf6  fgf8a"
21,"Protein-containing complex "," hadhab  cx39.4  gtf2h5  nup62l  clocka  elavl4  eif3f  magt1    ep300b  PIK3R6  myh10  lin52  itga9  tnni1c  myh9a  rpsa  sptbn1  pmpcb  pcgf6"
11,"Non-membrane-bounded organelle "," map7d1b  clocka  rps27l    myh10  DST  tnni1c  myh9a  rpsa  sptbn1  inaa"
11,"Cell periphery "," si:dkey-22o22.2  cx39.4  cdh13  pcdh1b  plppr4b    htr4  itga9  cdh15  sptbn1  epha4a"
9,"Plasma membrane "," si:dkey-22o22.2  cx39.4  cdh13  pcdh1b  plppr4b  htr4  itga9  cdh15  epha4a"
7,"Endomembrane system "," zdhhc15b  nup62l  jagn1a  magt1  si:ch211-274f20.2  b4galnt3b  syt1b"
6,"Extracellular region "," fgf16  edn1  C3  wnt5b  fgf8a"
6,"Organelle membrane "," zdhhc15b    jagn1a  magt1  b4galnt3b  slc25a38b"
5,"Cell junction "," cx39.4  magi2a  rapsn  syt1b  magi1b"
4,"Membrane protein complex "," cx39.4  magt1  PIK3R6  itga9"
3,"Membrane-enclosed lumen "," hadhab  ep300b  pmpcb"
3,"Extracellular space "," C3  fgf8a"
3,"Cell-cell junction "," cx39.4  magi2a  magi1b"
3,"Envelope ","   nup62l  slc25a38b"
3,"Organelle lumen "," hadhab  ep300b  pmpcb"
3,"Anchoring junction "," cx39.4  magi2a  magi1b"
2,"Synapse "," rapsn  syt1b"
2,"Supramolecular fiber "," tnni1c  inaa"
2,"Endoplasmic reticulum membrane "," jagn1a  magt1"
2,"Nuclear outer membrane-endoplasmic reticulum membrane network "," jagn1a  magt1"
2,"Ribonucleoprotein complex "," elavl4  rpsa"
1,"Chromatin "," clocka"
1,"Synaptic vesicle "," syt1b"
1,"Extrinsic component of membrane "," PIK3R6"
1,"Intrinsic component of organelle membrane "," zdhhc15b"
1,"Presynapse "," syt1b"
1,"Polymeric cytoskeletal fiber "," inaa"
